연월,보험사,상품카테고리,연령대,성별,가입건수,청구건수,경과보험료_원,청구금액_원,손해율(%)
2024-02,한빛생명,자동차,30대,남성,4434,492,252534036,199502980,79.0
2024-02,한빛생명,자동차,30대,여성,1559,251,66177991,45788439,69.2
2024-02,한빛생명,자동차,40대,남성,855,104,65056950,43793630,67.3
2024-02,한빛생명,자동차,40대,여성,2745,271,214011180,154931287,72.4
2024-02,한빛생명,자동차,50대,남성,2498,134,83438196,59096769,70.8
2024-02,한빛생명,자동차,50대,여성,1369,136,82576711,63498668,76.9
2024-02,한빛생명,자동차,60대이상,남성,1983,304,121012575,103932169,85.9
2024-02,한빛생명,자동차,60대이상,여성,821,133,56602203,52163096,92.2
2024-03,한빛생명,자동차,20대,남성,3172,465,154590592,149979321,97.0
2024-03,한빛생명,자동차,20대,여성,4266,271,217502010,191823683,88.2
2024-03,한빛생명,자동차,30대,남성,3424,380,287263328,235185681,81.9
2024-03,한빛생명,자동차,30대,여성,1319,66,57401561,40063433,69.8
2024-03,한빛생명,자동차,40대,남성,4109,827,170018093,145927691,85.8
2024-03,한빛생명,자동차,40대,여성,1976,283,108638504,94556344,87.0
2024-03,한빛생명,자동차,50대,남성,1519,138,65224341,62204121,95.4
2024-03,한빛생명,자동차,50대,여성,3117,577,96131397,84810011,88.2
2024-03,한빛생명,자동차,60대이상,남성,3903,481,118799514,77770957,65.5
2024-03,한빛생명,자동차,60대이상,여성,4356,309,152943516,141124673,92.3
2024-04,한빛생명,자동차,20대,남성,873,146,40148397,27177916,67.7
2024-04,한빛생명,자동차,20대,여성,3459,236,213631299,180089742,84.3
2024-04,한빛생명,자동차,30대,남성,3156,624,192866316,134752242,69.9
2024-04,한빛생명,자동차,30대,여성,1876,259,87318420,84957903,97.3
2024-04,한빛생명,자동차,40대,남성,3571,361,140572415,102448531,72.9
2024-04,한빛생명,자동차,40대,여성,975,143,75743850,53644296,70.8
2024-04,한빛생명,자동차,50대,남성,656,135,46850208,35463934,75.7
2024-04,한빛생명,자동차,50대,여성,2051,375,125592985,109374123,87.1
2024-04,한빛생명,자동차,60대이상,남성,3488,327,289354016,198573894,68.6
2024-04,한빛생명,자동차,60대이상,여성,978,165,72221388,51771844,71.7
2024-05,한빛생명,자동차,20대,남성,4228,744,215298216,158334656,73.5
2024-05,한빛생명,자동차,20대,여성,3601,331,218353837,198709132,91.0
2024-05,한빛생명,자동차,30대,남성,4049,843,171839560,112441210,65.4
2024-05,한빛생명,자동차,30대,여성,2601,268,169665831,143997503,84.9
2024-05,한빛생명,자동차,40대,남성,2408,235,86541112,65602711,75.8
2024-05,한빛생명,자동차,40대,여성,1207,236,46436911,35924722,77.4
2024-05,한빛생명,자동차,50대,남성,999,153,53888058,52036964,96.6
2024-05,한빛생명,자동차,50대,여성,3654,280,119525994,85503903,71.5
2024-05,한빛생명,자동차,60대이상,남성,1444,292,125197688,118871162,94.9
2024-05,한빛생명,자동차,60대이상,여성,806,78,44645952,33798163,75.7
2024-06,한빛생명,자동차,20대,남성,2736,379,139284288,106582737,76.5
2024-06,한빛생명,자동차,20대,여성,2923,557,132058217,99046020,75.0
2024-06,한빛생명,자동차,30대,남성,2454,344,67352484,51900311,77.1
2024-06,한빛생명,자동차,30대,여성,1271,271,97073896,76542446,78.8
2024-06,한빛생명,자동차,40대,남성,3604,264,263755136,207128999,78.5
2024-06,한빛생명,자동차,40대,여성,976,147,82386112,65492285,79.5
2024-06,한빛생명,자동차,50대,남성,3270,378,116748810,86235430,73.9
2024-06,한빛생명,자동차,50대,여성,3890,589,160404150,108285083,67.5
2024-06,한빛생명,자동차,60대이상,남성,3851,599,204014427,146815193,72.0
2024-06,한빛생명,자동차,60대이상,여성,2878,253,204648824,186619358,91.2
2024-07,한빛생명,자동차,20대,남성,1901,181,94903623,89644500,94.5
2024-07,한빛생명,자동차,20대,여성,4360,772,286691800,265284665,92.5
2024-07,한빛생명,자동차,30대,남성,4024,252,153712776,100417701,65.3
2024-07,한빛생명,자동차,30대,여성,2537,203,209868251,164474693,78.4
2024-07,한빛생명,자동차,40대,남성,1266,124,51209700,49567021,96.8
2024-07,한빛생명,자동차,40대,여성,2696,168,147352576,126757026,86.0
2024-07,한빛생명,자동차,50대,남성,2615,356,127439410,126127253,99.0
2024-07,한빛생명,자동차,50대,여성,491,77,25717598,17478379,68.0
2024-07,한빛생명,자동차,60대이상,남성,1437,85,107954625,107216976,99.3
2024-07,한빛생명,자동차,60대이상,여성,3714,496,129763446,90380381,69.7
2024-08,한빛생명,자동차,20대,남성,411,45,27114903,18194877,67.1
2024-08,한빛생명,자동차,20대,여성,599,114,46599205,37458712,80.4
2024-08,한빛생명,자동차,30대,남성,420,66,11984700,7625741,63.6
2024-08,한빛생명,자동차,30대,여성,2607,418,91252821,67030187,73.5
2024-08,한빛생명,자동차,40대,남성,684,80,60709104,42518323,70.0
2024-08,한빛생명,자동차,40대,여성,4100,489,330915100,284852566,86.1
2024-08,한빛생명,자동차,50대,남성,1996,321,134400660,106523482,79.3
2024-08,한빛생명,자동차,50대,여성,1285,141,55290980,47299366,85.5
2024-08,한빛생명,자동차,60대이상,남성,944,56,27171152,25215988,92.8
2024-08,한빛생명,자동차,60대이상,여성,3242,611,285464584,352796053,123.6
2024-09,한빛생명,자동차,20대,남성,1905,344,137579100,122841807,89.3
2024-09,한빛생명,자동차,20대,여성,2475,430,185590350,157882201,85.1
2024-09,한빛생명,자동차,30대,남성,2988,187,98624916,74799454,75.8
2024-09,한빛생명,자동차,30대,여성,2213,455,114372266,79680835,69.7
2024-09,한빛생명,자동차,40대,남성,2367,323,135065754,125211046,92.7
2024-09,한빛생명,자동차,40대,여성,1616,186,105023840,102829595,97.9
2024-09,한빛생명,자동차,50대,남성,757,73,41269369,31544533,76.4
2024-09,한빛생명,자동차,50대,여성,3414,652,168914478,112557005,66.6
2024-09,한빛생명,자동차,60대이상,남성,1984,301,74634112,71957639,96.4
2024-09,한빛생명,자동차,60대이상,여성,4385,292,114974700,88343433,76.8
2024-10,한빛생명,자동차,20대,남성,1987,238,75982880,52654900,69.3
2024-10,한빛생명,자동차,20대,여성,3319,378,106071921,94729655,89.3
2024-10,한빛생명,자동차,30대,남성,3090,216,166900170,112891909,67.6
2024-10,한빛생명,자동차,30대,여성,1079,130,71952036,68165924,94.7
2024-10,한빛생명,자동차,40대,남성,3420,396,104029560,76144929,73.2
2024-10,한빛생명,자동차,40대,여성,796,98,45329016,30630408,67.6
2024-10,한빛생명,자동차,50대,남성,3761,190,272405469,182384778,67.0
2024-10,한빛생명,자동차,50대,여성,2958,182,227706840,153700792,67.5
2024-10,한빛생명,자동차,60대이상,남성,1621,137,98303924,71307062,72.5
2024-10,한빛생명,자동차,60대이상,여성,2287,484,133732325,89845016,67.2
2024-11,한빛생명,자동차,20대,남성,1026,123,58132134,55286089,95.1
2024-11,한빛생명,자동차,20대,여성,1432,276,39924160,35753612,89.6
2024-11,한빛생명,자동차,30대,남성,1283,211,53021258,48698658,91.8
2024-11,한빛생명,자동차,30대,여성,1363,274,45306120,44208312,97.6
2024-11,한빛생명,자동차,40대,남성,1989,162,84793059,83797357,98.8
2024-11,한빛생명,자동차,40대,여성,777,75,67420290,46244996,68.6
2024-11,한빛생명,자동차,50대,남성,3114,375,251000856,180022062,71.7
2024-11,한빛생명,자동차,50대,여성,3237,237,272794938,195030547,71.5
2024-11,한빛생명,자동차,60대이상,남성,1849,116,58382175,55445305,95.0
2024-11,한빛생명,자동차,60대이상,여성,4317,909,306213444,272746230,89.1
2024-12,한빛생명,자동차,20대,남성,4305,510,202554555,219757089,108.5
2024-12,한빛생명,자동차,20대,여성,833,157,73152394,50560584,69.1
2024-12,한빛생명,자동차,30대,남성,1214,142,93241270,77265040,82.9
2024-12,한빛생명,자동차,30대,여성,1569,294,115017114,109265501,95.0
2024-12,한빛생명,자동차,40대,남성,3091,233,267448775,187678895,70.2
2024-12,한빛생명,자동차,40대,여성,2431,344,110899789,107333903,96.8
2024-12,한빛생명,자동차,50대,남성,3940,410,217996260,192753137,88.4
2024-12,한빛생명,자동차,50대,여성,1822,181,76793656,65000611,84.6
2024-12,한빛생명,자동차,60대이상,남성,1940,305,54820520,33290985,60.7
2024-12,한빛생명,자동차,60대이상,여성,4133,603,136864295,123578947,90.3
2025-01,한빛생명,자동차,20대,남성,2531,281,118676059,79038459,66.6
2025-01,한빛생명,자동차,20대,여성,2351,492,157991902,125844603,79.7
2025-01,한빛생명,자동차,30대,남성,2011,407,75233521,55430080,73.7
2025-01,한빛생명,자동차,30대,여성,4465,970,246021500,180884484,73.5
2025-01,한빛생명,자동차,40대,남성,701,119,43677908,32524628,74.5
2025-01,한빛생명,자동차,40대,여성,2381,263,134762219,113673057,84.4
2025-01,한빛생명,자동차,50대,남성,1307,94,91901705,55213172,60.1
2025-01,한빛생명,자동차,50대,여성,2757,569,230231556,181120718,78.7
2025-01,한빛생명,자동차,60대이상,남성,3331,444,297721449,199974249,67.2
2025-01,한빛생명,자동차,60대이상,여성,2971,241,132690802,130743732,98.5
2025-02,한빛생명,자동차,20대,남성,1759,150,84551612,62441564,73.9
2025-02,한빛생명,자동차,20대,여성,3378,601,93006474,68955832,74.1
2025-02,한빛생명,자동차,30대,남성,1418,288,40265528,27794059,69.0
2025-02,한빛생명,자동차,30대,여성,2712,398,214676496,203760918,94.9
2025-02,한빛생명,자동차,40대,남성,3223,270,140967574,99587071,70.6
2025-02,한빛생명,자동차,40대,여성,2076,144,166648824,135870585,81.5
2025-02,한빛생명,자동차,50대,남성,3701,394,269714076,174030915,64.5
2025-02,한빛생명,자동차,50대,여성,3398,342,133656932,134744491,100.8
2025-02,한빛생명,자동차,60대이상,남성,2867,210,118209277,87518821,74.0
2025-02,한빛생명,자동차,60대이상,여성,3810,777,182731410,169528979,92.8
2025-03,한빛생명,자동차,20대,남성,3219,226,116975241,79888603,68.3
2025-03,한빛생명,자동차,20대,여성,3024,191,201900384,144533281,71.6
2025-03,한빛생명,자동차,30대,남성,3539,248,151465661,119288735,78.8
2025-03,한빛생명,자동차,30대,여성,1961,327,114491024,108868416,95.1
2025-03,한빛생명,자동차,40대,남성,640,115,37852160,30261508,79.9
2025-03,한빛생명,자동차,40대,여성,3706,576,261410122,164629117,63.0
2025-03,한빛생명,자동차,50대,남성,4284,599,130799088,105967808,81.0
2025-03,한빛생명,자동차,50대,여성,1257,80,48599391,33994975,69.9
2025-03,한빛생명,자동차,60대이상,남성,3823,277,287313742,247236083,86.1
2025-03,한빛생명,자동차,60대이상,여성,3026,268,166275674,126215162,75.9
2025-04,한빛생명,자동차,20대,남성,2728,370,216758696,215148733,99.3
2025-04,한빛생명,자동차,20대,여성,3601,747,102920181,61835020,60.1
2025-04,한빛생명,자동차,30대,남성,1360,114,93587040,91376755,97.6
2025-04,한빛생명,자동차,30대,여성,2553,132,191033331,201362541,105.4
2025-04,한빛생명,자동차,40대,남성,2113,285,177380011,140362659,79.1
2025-04,한빛생명,자동차,40대,여성,1631,179,122382085,108092536,88.3
2025-04,한빛생명,자동차,50대,남성,3030,294,102432180,64650681,63.1
2025-04,한빛생명,자동차,50대,여성,1733,230,142294897,97281756,68.4
2025-04,한빛생명,자동차,60대이상,남성,3814,374,107634894,71833513,66.7
2025-04,한빛생명,자동차,60대이상,여성,4426,615,224792114,156425758,69.6
2025-05,한빛생명,자동차,20대,남성,2044,367,56639240,45174939,79.8
2025-05,한빛생명,자동차,20대,여성,3520,706,199415040,135286410,67.8
2025-05,한빛생명,자동차,30대,남성,1883,367,127507345,117298559,92.0
2025-05,한빛생명,자동차,30대,여성,977,117,73046382,61384387,84.0
2025-05,한빛생명,자동차,40대,남성,3716,675,263847148,226281495,85.8
2025-05,한빛생명,자동차,40대,여성,404,54,32272732,29008400,89.9
2025-05,한빛생명,자동차,50대,남성,1651,315,64727455,44605877,68.9
2025-05,한빛생명,자동차,50대,여성,2185,166,158154670,109536812,69.3
2025-05,한빛생명,자동차,60대이상,남성,3065,572,238971920,164726920,68.9
2025-05,한빛생명,자동차,60대이상,여성,1962,263,53450766,48802695,91.3
2025-06,한빛생명,자동차,20대,남성,3707,387,254593053,195576608,76.8
2025-06,한빛생명,자동차,20대,여성,2376,368,191709936,172713335,90.1
2025-06,한빛생명,자동차,30대,남성,4121,391,104339599,103530006,99.2
2025-06,한빛생명,자동차,30대,여성,2191,296,132667241,85340826,64.3
2025-06,한빛생명,자동차,40대,남성,1057,96,87834586,68030312,77.5
2025-06,한빛생명,자동차,40대,여성,2262,419,81479502,53322939,65.4
2025-06,한빛생명,자동차,50대,남성,1273,225,98994845,83197220,84.0
2025-06,한빛생명,자동차,50대,여성,3707,278,133733732,102321259,76.5
2025-06,한빛생명,자동차,60대이상,남성,803,117,64984381,55938062,86.1
2025-06,한빛생명,자동차,60대이상,여성,3190,336,98236050,82062140,83.5
2025-07,한빛생명,자동차,20대,남성,3525,506,116162850,70596978,60.8
2025-07,한빛생명,자동차,20대,여성,662,127,57807826,47454586,82.1
2025-07,한빛생명,자동차,30대,남성,3705,412,275177760,203858318,74.1
2025-07,한빛생명,자동차,30대,여성,1024,134,57513984,46812937,81.4
2025-07,한빛생명,자동차,40대,남성,810,63,50761080,46652774,91.9
2025-07,한빛생명,자동차,40대,여성,539,27,45772419,41514291,90.7
2025-07,한빛생명,자동차,50대,남성,2500,321,119730000,100347058,83.8
2025-07,한빛생명,자동차,50대,여성,2956,157,232326820,143668550,61.8
2025-07,한빛생명,자동차,60대이상,남성,1618,166,76075124,64709823,85.1
2025-07,한빛생명,자동차,60대이상,여성,593,43,27209212,24447993,89.9
2025-08,한빛생명,자동차,20대,남성,3061,463,86813021,69424619,80.0
2025-08,한빛생명,자동차,20대,여성,3159,691,96791760,64349941,66.5
2025-08,한빛생명,자동차,30대,남성,2551,309,149024318,97272267,65.3
2025-08,한빛생명,자동차,30대,여성,3746,371,201864448,163759520,81.1
2025-08,한빛생명,자동차,40대,남성,3026,608,176085966,164135338,93.2
2025-08,한빛생명,자동차,40대,여성,493,36,29601199,19031036,64.3
2025-08,한빛생명,자동차,50대,남성,2735,280,200661480,170926723,85.2
2025-08,한빛생명,자동차,50대,여성,3489,320,291648999,187469348,64.3
2025-08,한빛생명,자동차,60대이상,남성,2542,219,99951440,61849499,61.9
2025-08,한빛생명,자동차,60대이상,여성,3746,419,272450326,235072800,86.3
2025-09,한빛생명,자동차,20대,남성,4244,579,193848944,169591635,87.5
2025-09,한빛생명,자동차,20대,여성,4173,538,372928491,366085463,98.2
2025-09,한빛생명,자동차,30대,남성,1442,258,46128138,46067797,99.9
2025-09,한빛생명,자동차,30대,여성,2287,416,78643069,52052393,66.2
2025-09,한빛생명,자동차,40대,남성,3539,687,149367034,95057763,63.6
2025-09,한빛생명,자동차,40대,여성,2419,297,133625560,123228389,92.2
2025-09,한빛생명,자동차,50대,남성,3578,702,142107426,100398613,70.6
2025-09,한빛생명,자동차,50대,여성,3792,432,163154592,114632328,70.3
2025-09,한빛생명,자동차,60대이상,남성,3960,711,302262840,190810763,63.1
2025-09,한빛생명,자동차,60대이상,여성,3892,664,148927380,143593390,96.4
2025-10,한빛생명,자동차,20대,남성,2064,329,87007920,64767369,74.4
2025-10,한빛생명,자동차,20대,여성,4249,396,339741542,317929384,93.6
2025-10,한빛생명,자동차,30대,남성,3848,834,140505872,125212629,89.1
2025-10,한빛생명,자동차,30대,여성,1329,260,47275188,30863983,65.3
2025-10,한빛생명,자동차,40대,남성,2328,488,81854808,54468957,66.5
2025-10,한빛생명,자동차,40대,여성,3239,413,193037922,165538062,85.8
2025-10,한빛생명,자동차,50대,남성,3472,645,136390576,117462036,86.1
2025-10,한빛생명,자동차,50대,여성,589,44,40837137,25547805,62.6
2025-10,한빛생명,자동차,60대이상,남성,845,71,46337265,39060088,84.3
2025-10,한빛생명,자동차,60대이상,여성,2533,161,114787961,87978085,76.6
2025-11,한빛생명,자동차,20대,남성,3563,733,200415187,193889390,96.7
2025-11,한빛생명,자동차,20대,여성,1608,118,131365560,101492349,77.3
2025-11,한빛생명,자동차,30대,남성,537,79,14525850,10877822,74.9
2025-11,한빛생명,자동차,30대,여성,4176,627,198368352,140271699,70.7
2025-11,한빛생명,자동차,40대,남성,4224,663,286535040,281244637,98.2
2025-11,한빛생명,자동차,40대,여성,3570,449,109702530,101827660,92.8
2025-11,한빛생명,자동차,50대,남성,3811,282,166369205,135521563,81.5
2025-11,한빛생명,자동차,50대,여성,1044,195,78138180,76954865,98.5
2025-11,한빛생명,자동차,60대이상,남성,1513,186,133022960,84904680,63.8
2025-11,한빛생명,자동차,60대이상,여성,4228,367,244839252,242764854,99.2
2025-12,한빛생명,자동차,20대,남성,712,120,60829720,46230452,76.0
2025-12,한빛생명,자동차,20대,여성,1889,372,52733324,33647327,63.8
2025-12,한빛생명,자동차,30대,남성,713,52,41721908,37907270,90.9
2025-12,한빛생명,자동차,30대,여성,4217,885,263587802,187023208,71.0
2025-12,한빛생명,자동차,40대,남성,2576,260,68789504,51083174,74.3
2025-12,한빛생명,자동차,40대,여성,3416,406,232872136,180875005,77.7
2025-12,한빛생명,자동차,50대,남성,623,128,42126637,39300255,93.3
2025-12,한빛생명,자동차,50대,여성,2145,176,100074975,92929252,92.9
2025-12,한빛생명,자동차,60대이상,남성,3610,362,200849570,194768458,97.0
2025-12,한빛생명,자동차,60대이상,여성,445,47,24638315,15176126,61.6
2023-07,한빛생명,어린이,20대,남성,3619,215,231210672,130674054,56.5
2023-07,한빛생명,어린이,20대,여성,3761,668,201303764,148022339,73.5
2023-07,한빛생명,어린이,30대,남성,1913,325,66830655,40520555,60.6
2023-07,한빛생명,어린이,30대,여성,1874,135,103255526,54776996,53.0
2023-07,한빛생명,어린이,40대,남성,2422,259,87158092,35279899,40.5
2023-07,한빛생명,어린이,40대,여성,3740,463,211410980,85436326,40.4
2023-07,한빛생명,어린이,50대,남성,844,80,42418596,16482519,38.9
2023-07,한빛생명,어린이,50대,여성,3549,392,238790916,170142247,71.3
2023-07,한빛생명,어린이,60대이상,남성,4287,611,379673868,189128840,49.8
2023-07,한빛생명,어린이,60대이상,여성,906,187,79341138,48912732,61.6
2023-08,한빛생명,어린이,20대,남성,2464,266,108169600,47375789,43.8
2023-08,한빛생명,어린이,20대,여성,4406,299,284614382,143869117,50.5
2023-08,한빛생명,어린이,30대,남성,883,141,34476735,22193412,64.4
2023-08,한빛생명,어린이,30대,여성,3253,348,179435480,82250669,45.8
2023-08,한빛생명,어린이,40대,남성,1125,71,65919375,49640810,75.3
2023-08,한빛생명,어린이,40대,여성,3290,402,163239930,88887570,54.5
2023-08,한빛생명,어린이,50대,남성,3341,616,201275204,79015777,39.3
2023-08,한빛생명,어린이,50대,여성,2977,180,123375811,56013096,45.4
2023-08,한빛생명,어린이,60대이상,남성,3615,487,170649690,104338855,61.1
2023-08,한빛생명,어린이,60대이상,여성,3510,333,296717850,109919829,37.0
2023-09,한빛생명,어린이,20대,남성,3257,640,270672985,120817926,44.6
2023-09,한빛생명,어린이,20대,여성,658,98,42339668,23682929,55.9
2023-09,한빛생명,어린이,30대,남성,3989,682,228920732,117006554,51.1
2023-09,한빛생명,어린이,30대,여성,4417,395,334782098,169393414,50.6
2023-09,한빛생명,어린이,40대,남성,1203,106,60193308,30081838,50.0
2023-09,한빛생명,어린이,40대,여성,1019,141,28654280,16282160,56.8
2023-09,한빛생명,어린이,50대,남성,2124,456,101223468,46470884,45.9
2023-09,한빛생명,어린이,50대,여성,3493,626,100273551,52997555,52.9
2023-09,한빛생명,어린이,60대이상,남성,2240,269,75035520,42828155,57.1
2023-09,한빛생명,어린이,60대이상,여성,1592,136,117012000,73833406,63.1
2023-10,한빛생명,어린이,20대,남성,2764,432,194635352,81146486,41.7
2023-10,한빛생명,어린이,20대,여성,2472,295,206805048,103754356,50.2
2023-10,한빛생명,어린이,30대,남성,4410,665,299377260,191488191,64.0
2023-10,한빛생명,어린이,30대,여성,3747,280,247257036,142628571,57.7
2023-10,한빛생명,어린이,40대,남성,2465,305,80137150,45959643,57.4
2023-10,한빛생명,어린이,40대,여성,1239,89,98470764,60912847,61.9
2023-10,한빛생명,어린이,50대,남성,1880,384,87718920,63690609,72.6
2023-10,한빛생명,어린이,50대,여성,4117,474,164379459,123745786,75.3
2023-10,한빛생명,어린이,60대이상,남성,4343,771,122446542,71975818,58.8
2023-10,한빛생명,어린이,60대이상,여성,2171,396,161863247,83066333,51.3
2023-11,한빛생명,어린이,20대,남성,1309,238,37879842,26776423,70.7
2023-11,한빛생명,어린이,20대,여성,3800,618,224469800,90315672,40.2
2023-11,한빛생명,어린이,30대,남성,3309,654,131036400,57234787,43.7
2023-11,한빛생명,어린이,30대,여성,4423,463,331180971,193794494,58.5
2023-11,한빛생명,어린이,40대,남성,2805,185,104059890,63691802,61.2
2023-11,한빛생명,어린이,40대,여성,2351,300,198255128,141056588,71.1
2023-11,한빛생명,어린이,50대,남성,4029,243,161494407,91678365,56.8
2023-11,한빛생명,어린이,50대,여성,3116,229,274768880,133829986,48.7
2023-11,한빛생명,어린이,60대이상,남성,2534,340,71963066,42633610,59.2
2023-11,한빛생명,어린이,60대이상,여성,4358,565,144842488,108080925,74.6
2023-12,한빛생명,어린이,20대,남성,2233,185,121928499,82197633,67.4
2023-12,한빛생명,어린이,20대,여성,3249,346,116229726,79777001,68.6
2023-12,한빛생명,어린이,30대,남성,3435,694,296443935,121744412,41.1
2023-12,한빛생명,어린이,30대,여성,1478,258,112245232,63316961,56.4
2023-12,한빛생명,어린이,40대,남성,812,104,42361228,32473212,76.7
2023-12,한빛생명,어린이,40대,여성,3148,203,187611356,72611400,38.7
2023-12,한빛생명,어린이,50대,남성,2419,157,100821501,59176703,58.7
2023-12,한빛생명,어린이,50대,여성,1217,216,30698825,16410093,53.5
2023-12,한빛생명,어린이,60대이상,남성,1229,99,58477049,34479983,59.0
2023-12,한빛생명,어린이,60대이상,여성,4149,545,355507065,256413716,72.1
2024-01,한빛생명,어린이,20대,남성,813,64,38510184,26651065,69.2
2024-01,한빛생명,어린이,20대,여성,1168,62,59809776,45435988,76.0
2024-01,한빛생명,어린이,30대,남성,2351,499,136799988,76842185,56.2
