customer_id,age,gender,occupation,family_structure,income_band,residence_region,driver_status,persona_cluster,child_count,homeowner_flag,priority_need_1,priority_need_2,needs_tags
C00019,35,여성,IT개발자,외벌이자녀2,300만원 이하,인천,자가운전,맞벌이자녀가구,2,N,암진단,수술비,어린이성장|입원비
C00020,47,남성,주부,맞벌이자녀1,1200만원 이상,서울 강북,자가운전,1인가구청년,1,N,자차손해,재산보장,어린이성장|자차손해|수술비
C00021,56,여성,생산직,1인가구,500-800만원,서울 강북,비운전,사회초년생,0,N,수술비,재산보장,자차손해|뇌혈관
C00022,62,여성,교사,신혼부부,1200만원 이상,서울 강북,자가운전,안정형시니어,0,N,자차손해,입원비,치과|어린이성장|사망보장|자차손해
C00023,51,남성,생산직,맞벌이자녀1,500-800만원,인천,자가운전,자영업중장년,1,N,암진단,치과,치과|뇌혈관|자녀상해
C00024,62,남성,주부,1인가구,300만원 이하,경기 북부,자가운전,맞벌이자녀가구,0,Y,사망보장,수술비,암진단|노후연금|자차손해|어린이성장
C00025,68,여성,프리랜서,외벌이자녀2,300만원 이하,강원,자가운전,맞벌이자녀가구,2,Y,심혈관,해외여행,수술비|사망보장
C00026,64,여성,생산직,맞벌이자녀2,300-500만원,부산,자가운전,맞벌이자녀가구,2,Y,자동차배상,재산보장,자차손해|뇌혈관|노후연금|자녀상해
C00027,46,여성,공무원,3세대가구,800-1200만원,제주,비운전,맞벌이자녀가구,1,Y,뇌혈관,자차손해,사망보장|뇌혈관
C00028,63,남성,은퇴자,맞벌이자녀2,300만원 이하,부산,자가운전,사회초년생,2,N,어린이성장,재산보장,사망보장|자동차배상|입원비
C00029,53,여성,사무직,편부모가정,800-1200만원,대구,자가운전,골드에이지,1,Y,자녀상해,해외여행,심혈관|수술비|어린이성장|사망보장
C00030,38,여성,생산직,3세대가구,1200만원 이상,강원,자가운전,사회초년생,1,N,재산보장,노후연금,심혈관|해외여행|수술비|뇌혈관
C00031,60,남성,IT개발자,맞벌이자녀1,1200만원 이상,부산,자가운전,안정형시니어,1,Y,해외여행,어린이성장,재산보장|사망보장
C00032,69,남성,교사,신혼부부,300-500만원,경기 북부,자가운전,안정형시니어,0,N,뇌혈관,어린이성장,수술비|재산보장|뇌혈관
C00033,32,남성,자영업,3세대가구,800-1200만원,경기 북부,자가운전,안정형시니어,3,N,암진단,심혈관,자차손해|어린이성장
C00034,37,남성,사무직,3세대가구,300-500만원,서울 강남,비운전,안정형시니어,2,Y,자차손해,암진단,뇌혈관|재산보장|해외여행|암진단
C00035,43,남성,전문직,외벌이자녀2,800-1200만원,경기 남부,자가운전,사회초년생,2,Y,노후연금,재산보장,수술비|재산보장|암진단
C00036,73,남성,주부,외벌이자녀2,800-1200만원,인천,자가운전,맞벌이자녀가구,2,Y,뇌혈관,어린이성장,수술비|뇌혈관
C00037,35,남성,학생,1인가구,300만원 이하,울산,비운전,사회초년생,0,Y,해외여행,사망보장,자동차배상|자녀상해|암진단
C00038,47,여성,전문직,1인가구,300-500만원,경기 북부,자가운전,자영업중장년,0,N,노후연금,수술비,재산보장|자차손해|해외여행|뇌혈관
C00039,54,여성,은퇴자,신혼부부,800-1200만원,대구,자가운전,맞벌이자녀가구,0,Y,자동차배상,심혈관,자녀상해|뇌혈관|사망보장|암진단
C00040,22,남성,교사,맞벌이자녀1,300만원 이하,광주,비운전,골드에이지,1,Y,심혈관,어린이성장,심혈관|자차손해|사망보장
C00041,25,여성,공무원,편부모가정,500-800만원,경기 북부,비운전,골드에이지,2,Y,암진단,입원비,수술비|자녀상해|재산보장|암진단
C00042,71,여성,학생,신혼부부,500-800만원,광주,비운전,자영업중장년,0,N,수술비,치과,입원비|노후연금|어린이성장|뇌혈관
C00043,65,남성,생산직,3세대가구,800-1200만원,제주,자가운전,자영업중장년,1,Y,사망보장,자녀상해,뇌혈관|자녀상해|수술비|노후연금
C00044,54,여성,사무직,1인가구,800-1200만원,울산,자가운전,사회초년생,0,N,해외여행,암진단,해외여행|암진단
C00045,48,남성,학생,신혼부부,300만원 이하,서울 강북,자가운전,자영업중장년,0,Y,자녀상해,자동차배상,심혈관|어린이성장|자동차배상
C00046,28,여성,주부,3세대가구,1200만원 이상,울산,비운전,맞벌이자녀가구,3,N,수술비,자차손해,뇌혈관|자동차배상
C00047,31,남성,전문직,신혼부부,800-1200만원,울산,자가운전,맞벌이자녀가구,0,Y,수술비,재산보장,암진단|수술비|심혈관
C00048,53,여성,공무원,외벌이자녀2,800-1200만원,울산,자가운전,골드에이지,2,Y,재산보장,해외여행,사망보장|해외여행|자동차배상
C00049,23,여성,프리랜서,맞벌이자녀1,800-1200만원,울산,자가운전,맞벌이자녀가구,1,N,수술비,해외여행,치과|어린이성장|심혈관|해외여행
C00050,42,남성,은퇴자,1인가구,300-500만원,광주,자가운전,1인가구청년,0,Y,재산보장,자차손해,뇌혈관|치과
C00051,62,여성,전문직,3세대가구,500-800만원,제주,자가운전,맞벌이자녀가구,3,N,치과,뇌혈관,재산보장|어린이성장|뇌혈관|자녀상해
C00052,69,남성,프리랜서,맞벌이자녀2,300만원 이하,경기 남부,자가운전,자영업중장년,2,Y,노후연금,자동차배상,사망보장|해외여행
C00053,66,여성,생산직,맞벌이자녀2,500-800만원,강원,자가운전,사회초년생,2,Y,노후연금,수술비,어린이성장|심혈관
C00054,55,남성,교사,편부모가정,1200만원 이상,서울 강북,자가운전,골드에이지,1,Y,심혈관,자차손해,자차손해|해외여행|사망보장
C00055,56,여성,사무직,3세대가구,500-800만원,서울 강남,자가운전,골드에이지,3,Y,자차손해,해외여행,입원비|치과
C00056,23,여성,은퇴자,맞벌이자녀2,800-1200만원,서울 강북,자가운전,1인가구청년,2,N,자차손해,수술비,어린이성장|해외여행|자차손해|암진단
C00057,23,여성,의료진,맞벌이자녀1,1200만원 이상,울산,비운전,자영업중장년,1,Y,자동차배상,치과,자동차배상|사망보장|노후연금
C00058,57,남성,전문직,맞벌이자녀2,300-500만원,경기 남부,자가운전,골드에이지,2,Y,해외여행,뇌혈관,노후연금|해외여행|어린이성장|재산보장
C00059,24,여성,자영업,1인가구,800-1200만원,광주,자가운전,맞벌이자녀가구,0,Y,자동차배상,자차손해,자차손해|자동차배상|사망보장|입원비
C00060,45,남성,프리랜서,신혼부부,800-1200만원,인천,자가운전,골드에이지,0,Y,노후연금,암진단,자차손해|심혈관|노후연금|재산보장
C00061,35,남성,주부,맞벌이자녀2,500-800만원,광주,자가운전,1인가구청년,2,N,재산보장,해외여행,어린이성장|수술비|노후연금
C00062,60,남성,공무원,외벌이자녀2,300만원 이하,경기 남부,자가운전,안정형시니어,2,N,수술비,치과,뇌혈관|노후연금|사망보장|수술비
C00063,63,여성,생산직,맞벌이자녀1,300만원 이하,서울 강남,자가운전,맞벌이자녀가구,1,Y,심혈관,사망보장,해외여행|어린이성장|사망보장
C00064,22,남성,은퇴자,3세대가구,1200만원 이상,광주,자가운전,맞벌이자녀가구,2,N,치과,자동차배상,사망보장|심혈관
C00065,44,남성,전문직,편부모가정,1200만원 이상,대전,자가운전,사회초년생,2,N,사망보장,자동차배상,치과|재산보장|자차손해|수술비
C00066,49,여성,공무원,외벌이자녀2,300만원 이하,울산,자가운전,골드에이지,2,N,치과,수술비,암진단|자동차배상
C00067,42,여성,전문직,편부모가정,500-800만원,부산,자가운전,자영업중장년,1,Y,어린이성장,입원비,암진단|수술비
C00068,50,남성,IT개발자,맞벌이자녀1,300만원 이하,대전,비운전,1인가구청년,1,Y,자녀상해,수술비,심혈관|뇌혈관
C00069,39,여성,IT개발자,외벌이자녀2,1200만원 이상,경기 북부,자가운전,맞벌이자녀가구,2,Y,심혈관,치과,어린이성장|자차손해|암진단
C00070,45,여성,IT개발자,맞벌이자녀2,1200만원 이상,강원,자가운전,자영업중장년,2,N,재산보장,자차손해,암진단|해외여행|자차손해|자녀상해
C00071,31,남성,사무직,1인가구,500-800만원,대구,비운전,맞벌이자녀가구,0,Y,심혈관,해외여행,노후연금|사망보장|재산보장|자차손해
C00072,74,남성,프리랜서,맞벌이자녀2,500-800만원,경기 북부,비운전,안정형시니어,2,N,어린이성장,해외여행,입원비|노후연금
C00073,22,여성,공무원,3세대가구,1200만원 이상,울산,비운전,골드에이지,3,N,자차손해,재산보장,자동차배상|노후연금|수술비
C00074,36,여성,사무직,신혼부부,500-800만원,서울 강북,자가운전,사회초년생,0,N,입원비,자녀상해,자차손해|입원비
C00075,50,남성,프리랜서,1인가구,300만원 이하,울산,자가운전,사회초년생,0,Y,암진단,자녀상해,심혈관|자동차배상|수술비
C00076,53,남성,학생,맞벌이자녀2,1200만원 이상,부산,자가운전,자영업중장년,2,Y,자차손해,자녀상해,해외여행|어린이성장|사망보장|심혈관
C00077,23,여성,사무직,3세대가구,300-500만원,인천,비운전,맞벌이자녀가구,1,N,자차손해,암진단,자녀상해|심혈관
C00078,51,여성,주부,편부모가정,1200만원 이상,대구,자가운전,맞벌이자녀가구,2,Y,뇌혈관,자녀상해,뇌혈관|심혈관
C00079,35,남성,의료진,맞벌이자녀2,300만원 이하,경기 남부,자가운전,골드에이지,2,Y,자차손해,입원비,재산보장|자차손해|어린이성장
C00080,65,남성,자영업,편부모가정,1200만원 이상,경기 북부,자가운전,사회초년생,2,N,자차손해,어린이성장,수술비|입원비
C00081,73,여성,의료진,맞벌이자녀1,300만원 이하,울산,자가운전,1인가구청년,1,N,자차손해,노후연금,뇌혈관|암진단|심혈관
C00082,24,여성,은퇴자,맞벌이자녀1,1200만원 이상,경기 북부,비운전,사회초년생,1,Y,암진단,어린이성장,뇌혈관|수술비|자동차배상|자녀상해
C00083,39,여성,생산직,3세대가구,300-500만원,울산,자가운전,맞벌이자녀가구,3,Y,자차손해,노후연금,심혈관|재산보장
C00084,37,남성,교사,3세대가구,300-500만원,부산,자가운전,1인가구청년,3,Y,사망보장,자차손해,심혈관|입원비
C00085,47,남성,의료진,맞벌이자녀1,800-1200만원,대전,자가운전,사회초년생,1,Y,자녀상해,어린이성장,치과|입원비|재산보장
C00086,60,남성,교사,맞벌이자녀2,1200만원 이상,강원,자가운전,사회초년생,2,N,뇌혈관,어린이성장,뇌혈관|노후연금|치과|자녀상해
C00087,28,여성,전문직,맞벌이자녀2,500-800만원,대구,자가운전,자영업중장년,2,Y,자차손해,해외여행,치과|어린이성장
C00088,28,남성,의료진,외벌이자녀2,1200만원 이상,인천,자가운전,1인가구청년,2,N,노후연금,해외여행,수술비|어린이성장|치과|뇌혈관
C00089,54,여성,사무직,맞벌이자녀1,500-800만원,울산,자가운전,맞벌이자녀가구,1,N,수술비,사망보장,입원비|뇌혈관|자동차배상|사망보장
C00090,69,여성,프리랜서,외벌이자녀2,300-500만원,경기 남부,자가운전,사회초년생,2,Y,뇌혈관,사망보장,재산보장|자녀상해
C00091,70,여성,의료진,편부모가정,300-500만원,서울 강남,자가운전,골드에이지,2,N,치과,자동차배상,어린이성장|심혈관
C00092,61,여성,사무직,1인가구,800-1200만원,제주,자가운전,사회초년생,0,Y,자녀상해,재산보장,심혈관|입원비|재산보장
C00093,33,남성,공무원,맞벌이자녀1,500-800만원,강원,자가운전,1인가구청년,1,N,자동차배상,뇌혈관,재산보장|뇌혈관
C00094,46,여성,의료진,편부모가정,500-800만원,서울 강북,자가운전,골드에이지,2,Y,자동차배상,뇌혈관,어린이성장|노후연금|뇌혈관
C00095,56,여성,은퇴자,편부모가정,300만원 이하,인천,자가운전,1인가구청년,2,N,암진단,어린이성장,뇌혈관|암진단|치과|자동차배상
C00096,29,남성,생산직,맞벌이자녀2,300-500만원,울산,자가운전,맞벌이자녀가구,2,Y,치과,자차손해,수술비|자동차배상
C00097,68,남성,교사,3세대가구,500-800만원,대구,비운전,골드에이지,2,N,자동차배상,재산보장,어린이성장|해외여행|치과|뇌혈관
C00098,50,남성,생산직,편부모가정,300-500만원,제주,자가운전,골드에이지,1,Y,재산보장,해외여행,노후연금|수술비|암진단|심혈관
C00099,65,남성,주부,외벌이자녀2,1200만원 이상,서울 강남,자가운전,1인가구청년,2,Y,심혈관,입원비,뇌혈관|자녀상해
C00100,47,여성,교사,맞벌이자녀2,500-800만원,서울 강남,자가운전,골드에이지,2,N,노후연금,암진단,치과|자동차배상|심혈관
C00101,22,여성,생산직,신혼부부,300-500만원,경기 북부,자가운전,골드에이지,0,N,입원비,재산보장,입원비|해외여행|뇌혈관
C00102,48,여성,생산직,맞벌이자녀2,300-500만원,광주,자가운전,자영업중장년,2,Y,치과,입원비,심혈관|수술비
C00103,31,여성,주부,3세대가구,1200만원 이상,부산,비운전,맞벌이자녀가구,2,N,자동차배상,수술비,자녀상해|노후연금|재산보장
C00104,29,남성,공무원,신혼부부,300만원 이하,인천,자가운전,맞벌이자녀가구,0,Y,자동차배상,노후연금,암진단|수술비
C00105,51,남성,프리랜서,신혼부부,300만원 이하,대구,자가운전,맞벌이자녀가구,0,N,치과,사망보장,자차손해|어린이성장|수술비|사망보장
C00106,29,여성,자영업,편부모가정,300만원 이하,제주,자가운전,안정형시니어,1,Y,자차손해,치과,재산보장|노후연금|뇌혈관|해외여행
C00107,36,남성,생산직,편부모가정,800-1200만원,광주,비운전,안정형시니어,2,N,자동차배상,뇌혈관,치과|뇌혈관
C00108,74,여성,생산직,1인가구,300-500만원,대구,자가운전,사회초년생,0,Y,치과,뇌혈관,노후연금|암진단
C00109,60,남성,주부,맞벌이자녀2,1200만원 이상,서울 강북,비운전,사회초년생,2,Y,재산보장,치과,노후연금|해외여행
C00110,41,남성,자영업,맞벌이자녀1,300만원 이하,대구,비운전,안정형시니어,1,Y,해외여행,입원비,자녀상해|재산보장|해외여행
C00111,63,여성,학생,3세대가구,1200만원 이상,강원,비운전,안정형시니어,2,N,자녀상해,재산보장,심혈관|노후연금|치과|자녀상해
C00112,49,여성,주부,외벌이자녀2,300-500만원,경기 남부,자가운전,사회초년생,2,Y,치과,해외여행,암진단|수술비
C00113,39,남성,의료진,신혼부부,300만원 이하,광주,비운전,사회초년생,0,Y,해외여행,치과,입원비|뇌혈관
C00114,25,여성,교사,외벌이자녀2,1200만원 이상,경기 남부,자가운전,골드에이지,2,Y,사망보장,자녀상해,입원비|심혈관|자차손해
C00115,54,남성,사무직,맞벌이자녀2,800-1200만원,부산,자가운전,골드에이지,2,N,입원비,치과,자차손해|심혈관|해외여행|사망보장
C00116,38,남성,생산직,편부모가정,300만원 이하,인천,자가운전,사회초년생,1,N,심혈관,해외여행,뇌혈관|재산보장
C00117,58,남성,생산직,1인가구,300만원 이하,대구,자가운전,맞벌이자녀가구,0,N,암진단,자차손해,뇌혈관|수술비|자동차배상
C00118,38,여성,주부,신혼부부,300-500만원,대구,자가운전,맞벌이자녀가구,0,N,어린이성장,자차손해,심혈관|자동차배상
C00119,73,남성,IT개발자,외벌이자녀2,800-1200만원,부산,비운전,안정형시니어,2,Y,재산보장,입원비,입원비|자동차배상
C00120,37,남성,프리랜서,신혼부부,1200만원 이상,강원,비운전,안정형시니어,0,N,자차손해,치과,치과|노후연금|사망보장
C00121,31,남성,프리랜서,맞벌이자녀2,300만원 이하,부산,비운전,맞벌이자녀가구,2,N,사망보장,어린이성장,수술비|어린이성장
C00122,23,남성,주부,맞벌이자녀1,500-800만원,부산,자가운전,자영업중장년,1,N,사망보장,해외여행,자녀상해|뇌혈관
C00123,53,여성,생산직,맞벌이자녀1,300-500만원,대구,자가운전,안정형시니어,1,N,심혈관,치과,자녀상해|재산보장|암진단|자동차배상
C00124,66,남성,IT개발자,맞벌이자녀2,300만원 이하,부산,자가운전,1인가구청년,2,Y,해외여행,자녀상해,심혈관|사망보장|노후연금|자녀상해
C00125,46,여성,공무원,맞벌이자녀1,800-1200만원,광주,자가운전,골드에이지,1,Y,뇌혈관,자동차배상,자차손해|어린이성장
C00126,64,여성,사무직,외벌이자녀2,300만원 이하,서울 강북,자가운전,자영업중장년,2,Y,어린이성장,입원비,사망보장|재산보장
C00127,28,여성,은퇴자,신혼부부,1200만원 이상,제주,자가운전,맞벌이자녀가구,0,Y,수술비,어린이성장,수술비|자녀상해
C00128,31,남성,의료진,외벌이자녀2,500-800만원,강원,자가운전,자영업중장년,2,Y,해외여행,재산보장,수술비|자동차배상|자차손해
C00129,56,남성,전문직,신혼부부,300만원 이하,강원,비운전,골드에이지,0,Y,자동차배상,자녀상해,재산보장|어린이성장|자차손해|뇌혈관
C00130,27,남성,공무원,맞벌이자녀2,500-800만원,경기 남부,자가운전,맞벌이자녀가구,2,N,심혈관,암진단,입원비|수술비|치과
C00131,62,남성,프리랜서,3세대가구,800-1200만원,서울 강남,비운전,골드에이지,3,Y,치과,수술비,심혈관|자동차배상|수술비
C00132,68,여성,전문직,맞벌이자녀2,1200만원 이상,강원,비운전,1인가구청년,2,Y,자녀상해,수술비,뇌혈관|노후연금|암진단|해외여행
C00133,74,남성,교사,편부모가정,300-500만원,광주,자가운전,사회초년생,2,N,자동차배상,사망보장,치과|암진단|재산보장
C00134,35,여성,은퇴자,1인가구,300만원 이하,울산,자가운전,자영업중장년,0,Y,심혈관,치과,암진단|해외여행
C00135,68,남성,학생,3세대가구,300-500만원,서울 강남,비운전,맞벌이자녀가구,1,Y,심혈관,뇌혈관,자녀상해|노후연금|수술비
C00136,65,남성,의료진,1인가구,300-500만원,서울 강북,자가운전,자영업중장년,0,N,암진단,자녀상해,뇌혈관|입원비
C00137,41,여성,공무원,맞벌이자녀2,300만원 이하,경기 북부,비운전,1인가구청년,2,Y,자녀상해,자동차배상,입원비|심혈관
C00138,73,여성,IT개발자,편부모가정,300만원 이하,경기 남부,자가운전,골드에이지,1,N,치과,노후연금,재산보장|입원비
C00139,57,남성,은퇴자,맞벌이자녀1,500-800만원,대구,자가운전,안정형시니어,1,Y,사망보장,암진단,수술비|치과
C00140,33,여성,주부,신혼부부,800-1200만원,제주,자가운전,안정형시니어,0,N,입원비,심혈관,재산보장|수술비|노후연금|뇌혈관
C00141,39,여성,생산직,편부모가정,300만원 이하,대전,비운전,사회초년생,2,N,심혈관,치과,자녀상해|치과|수술비|입원비
C00142,35,여성,사무직,맞벌이자녀1,300-500만원,울산,자가운전,골드에이지,1,Y,어린이성장,사망보장,자녀상해|심혈관|뇌혈관|어린이성장
C00143,70,여성,은퇴자,편부모가정,300만원 이하,경기 남부,자가운전,1인가구청년,2,Y,재산보장,치과,어린이성장|수술비|심혈관|치과
C00144,62,여성,은퇴자,맞벌이자녀1,1200만원 이상,강원,비운전,맞벌이자녀가구,1,Y,해외여행,자차손해,자녀상해|노후연금|치과|뇌혈관
C00145,33,남성,은퇴자,맞벌이자녀2,300만원 이하,부산,자가운전,안정형시니어,2,Y,심혈관,자녀상해,뇌혈관|자녀상해
C00146,47,남성,교사,맞벌이자녀2,800-1200만원,대전,비운전,자영업중장년,2,N,뇌혈관,자동차배상,암진단|심혈관
C00147,43,남성,자영업,외벌이자녀2,300-500만원,서울 강남,자가운전,맞벌이자녀가구,2,N,해외여행,어린이성장,사망보장|해외여행
C00148,49,남성,생산직,1인가구,500-800만원,서울 강북,자가운전,골드에이지,0,N,노후연금,자차손해,암진단|자동차배상
C00149,50,여성,은퇴자,맞벌이자녀2,300-500만원,경기 북부,자가운전,골드에이지,2,Y,자차손해,치과,암진단|사망보장
C00150,59,남성,사무직,3세대가구,800-1200만원,부산,자가운전,1인가구청년,2,Y,어린이성장,자녀상해,자차손해|재산보장|자녀상해|수술비
C00151,61,남성,학생,3세대가구,300만원 이하,경기 북부,자가운전,안정형시니어,1,Y,자차손해,치과,치과|어린이성장|자동차배상
C00152,30,남성,프리랜서,맞벌이자녀2,1200만원 이상,서울 강북,비운전,자영업중장년,2,N,자차손해,심혈관,해외여행|어린이성장|노후연금
C00153,27,남성,생산직,신혼부부,1200만원 이상,경기 남부,자가운전,사회초년생,0,Y,심혈관,자녀상해,재산보장|어린이성장
C00154,24,남성,프리랜서,3세대가구,800-1200만원,강원,자가운전,골드에이지,2,Y,뇌혈관,자차손해,수술비|어린이성장|자차손해|재산보장
C00155,44,남성,주부,외벌이자녀2,300-500만원,인천,자가운전,1인가구청년,2,Y,심혈관,사망보장,입원비|사망보장
C00156,61,여성,생산직,편부모가정,500-800만원,대전,비운전,사회초년생,1,Y,입원비,자동차배상,심혈관|재산보장|치과
C00157,62,남성,공무원,맞벌이자녀2,800-1200만원,서울 강북,자가운전,자영업중장년,2,Y,자녀상해,어린이성장,입원비|사망보장|치과
C00158,23,남성,전문직,신혼부부,300만원 이하,제주,비운전,사회초년생,0,Y,심혈관,재산보장,어린이성장|해외여행|입원비
C00159,49,남성,학생,외벌이자녀2,1200만원 이상,부산,비운전,1인가구청년,2,N,뇌혈관,심혈관,자녀상해|입원비
C00160,46,여성,IT개발자,맞벌이자녀2,800-1200만원,인천,자가운전,자영업중장년,2,Y,자동차배상,해외여행,심혈관|암진단
C00161,53,여성,학생,맞벌이자녀1,800-1200만원,대전,자가운전,1인가구청년,1,N,사망보장,재산보장,암진단|해외여행|자동차배상
C00162,66,여성,은퇴자,맞벌이자녀2,800-1200만원,서울 강남,비운전,골드에이지,2,Y,심혈관,자차손해,어린이성장|심혈관
C00163,56,남성,학생,3세대가구,300만원 이하,광주,자가운전,자영업중장년,3,N,자동차배상,노후연금,자차손해|어린이성장|재산보장|수술비
C00164,35,남성,교사,신혼부부,1200만원 이상,부산,자가운전,1인가구청년,0,Y,재산보장,치과,암진단|어린이성장|수술비
C00165,27,여성,사무직,맞벌이자녀1,800-1200만원,대구,자가운전,사회초년생,1,Y,사망보장,수술비,해외여행|자녀상해|암진단|수술비
C00166,69,여성,사무직,맞벌이자녀2,300만원 이하,경기 남부,자가운전,사회초년생,2,N,재산보장,뇌혈관,노후연금|뇌혈관|자동차배상
C00167,31,여성,교사,외벌이자녀2,800-1200만원,대전,비운전,1인가구청년,2,N,암진단,입원비,재산보장|사망보장
C00168,28,여성,프리랜서,1인가구,800-1200만원,광주,자가운전,자영업중장년,0,N,수술비,사망보장,어린이성장|노후연금
C00169,38,여성,의료진,맞벌이자녀1,300만원 이하,대구,자가운전,사회초년생,1,Y,재산보장,뇌혈관,어린이성장|심혈관|해외여행
C00170,59,남성,공무원,1인가구,300만원 이하,대구,자가운전,1인가구청년,0,N,자녀상해,자차손해,사망보장|자녀상해|자동차배상
C00171,73,여성,주부,편부모가정,500-800만원,인천,자가운전,맞벌이자녀가구,1,N,재산보장,치과,재산보장|치과|자차손해
C00172,30,여성,사무직,신혼부부,500-800만원,경기 북부,비운전,1인가구청년,0,Y,자녀상해,입원비,심혈관|수술비|자동차배상|노후연금
C00173,71,여성,교사,3세대가구,800-1200만원,경기 북부,자가운전,자영업중장년,1,Y,재산보장,어린이성장,재산보장|어린이성장|입원비|자녀상해
C00174,28,여성,주부,외벌이자녀2,300-500만원,부산,자가운전,골드에이지,2,N,재산보장,뇌혈관,해외여행|자차손해|심혈관|자동차배상
C00175,44,남성,주부,맞벌이자녀2,300만원 이하,서울 강남,자가운전,골드에이지,2,Y,자녀상해,사망보장,노후연금|자녀상해|심혈관
C00176,32,남성,생산직,신혼부부,800-1200만원,제주,자가운전,사회초년생,0,Y,심혈관,자동차배상,해외여행|수술비|어린이성장|암진단
C00177,65,남성,의료진,맞벌이자녀1,500-800만원,인천,자가운전,자영업중장년,1,Y,어린이성장,수술비,심혈관|사망보장|해외여행
C00178,71,여성,주부,신혼부부,500-800만원,울산,비운전,사회초년생,0,Y,암진단,자녀상해,자동차배상|재산보장|어린이성장
C00179,64,여성,사무직,3세대가구,1200만원 이상,경기 남부,자가운전,1인가구청년,3,Y,입원비,노후연금,뇌혈관|어린이성장|자동차배상|노후연금
C00180,22,남성,공무원,신혼부부,800-1200만원,대전,자가운전,맞벌이자녀가구,0,Y,재산보장,사망보장,뇌혈관|암진단|어린이성장|수술비
C00181,59,여성,의료진,편부모가정,300만원 이하,제주,자가운전,자영업중장년,1,Y,치과,수술비,노후연금|수술비|자동차배상|입원비
C00182,44,남성,IT개발자,외벌이자녀2,1200만원 이상,경기 북부,비운전,맞벌이자녀가구,2,N,해외여행,자동차배상,치과|자동차배상|사망보장|자녀상해
C00183,63,남성,자영업,1인가구,1200만원 이상,울산,자가운전,안정형시니어,0,N,입원비,자녀상해,뇌혈관|재산보장|심혈관|암진단
C00184,69,여성,은퇴자,외벌이자녀2,500-800만원,울산,자가운전,골드에이지,2,N,자녀상해,수술비,암진단|노후연금
C00185,65,남성,학생,편부모가정,800-1200만원,인천,자가운전,사회초년생,1,Y,사망보장,수술비,치과|어린이성장
C00186,47,남성,의료진,1인가구,500-800만원,울산,자가운전,사회초년생,0,N,해외여행,사망보장,사망보장|노후연금|수술비
C00187,23,남성,IT개발자,맞벌이자녀1,300만원 이하,광주,자가운전,골드에이지,1,Y,사망보장,입원비,해외여행|노후연금|재산보장
C00188,35,남성,자영업,맞벌이자녀1,300만원 이하,경기 북부,자가운전,사회초년생,1,Y,노후연금,해외여행,재산보장|심혈관
C00189,74,여성,의료진,맞벌이자녀2,500-800만원,서울 강남,자가운전,1인가구청년,2,Y,해외여행,수술비,암진단|치과
