customer_id,product_id,units,avg_cost_nav,opened_date,auto_invest_flag
C00025,INV-펀드-0046,1623,1050.26,2023-04-01,N
C00025,INV-연금-0041,2920,1305.12,2024-12-21,Y
C00026,INV-연금-0006,209,1227.22,2023-08-11,Y
C00026,INV-ET-0033,1107,942.05,2024-08-21,Y
C00026,INV-변액-0007,2894,932.99,2024-06-12,N
C00028,INV-ET-0073,2739,1394.62,2024-01-01,Y
C00028,INV-펀드-0056,80,1222.39,2023-12-19,N
C00028,INV-연금-0016,2653,1333.26,2023-06-13,N
C00028,INV-연금-0089,2759,1108.39,2024-03-14,N
C00028,INV-ET-0090,985,976.25,2025-03-02,N
C00031,INV-ET-0043,2617,1363.95,2025-02-28,Y
C00032,INV-변액-0017,1732,1120.51,2024-03-16,N
C00032,INV-연금-0077,564,1169.98,2024-03-26,N
C00032,INV-연금-0094,2779,1215.15,2023-02-28,N
C00032,INV-펀드-0012,629,982.93,2024-02-03,N
C00032,INV-ET-0091,2839,1190.14,2024-07-12,N
C00033,INV-펀드-0044,1687,1210.92,2024-02-26,N
C00033,INV-ET-0003,1875,1194.9,2023-03-03,N
C00035,INV-펀드-0057,2724,976.88,2025-02-21,N
C00035,INV-연금-0066,2325,1173.94,2023-07-22,N
C00035,INV-펀드-0072,65,987.81,2024-03-26,Y
C00035,INV-변액-0084,940,1080.21,2024-02-20,N
C00035,INV-ET-0091,1864,1191.38,2024-09-30,Y
C00037,INV-ET-0045,1394,1170.48,2024-02-23,N
C00037,INV-ET-0076,670,1280.36,2025-02-28,N
C00037,INV-펀드-0058,1764,1327.63,2023-05-06,Y
C00037,INV-ET-0092,828,1519.0,2023-02-18,Y
C00038,INV-변액-0038,2889,1098.09,2023-03-10,N
C00041,INV-ET-0005,679,1562.92,2025-05-22,N
C00041,INV-ET-0025,2248,1297.59,2025-06-17,N
C00041,INV-변액-0037,1892,949.43,2024-07-29,Y
C00044,INV-ET-0008,1284,1219.22,2024-02-22,Y
C00046,INV-ET-0071,1127,1181.54,2024-10-10,N
C00046,INV-펀드-0047,1776,1363.44,2023-03-24,Y
C00046,INV-펀드-0063,2258,1234.62,2024-02-24,N
C00051,INV-변액-0069,2320,1341.88,2023-11-26,N
C00051,INV-변액-0096,2644,1213.04,2023-10-29,Y
C00051,INV-펀드-0040,1350,1204.79,2023-11-16,N
C00051,INV-펀드-0058,1811,1380.32,2024-10-27,N
C00051,INV-변액-0010,2945,1328.53,2025-04-14,Y
C00053,INV-펀드-0047,107,1321.11,2024-09-29,N
C00054,INV-ET-0018,650,992.37,2024-02-04,N
C00054,INV-펀드-0057,2343,1062.03,2024-11-25,Y
C00054,INV-ET-0022,364,884.27,2023-05-09,Y
C00055,INV-펀드-0026,922,1263.48,2023-07-16,N
C00057,INV-펀드-0062,1825,1494.25,2024-12-20,Y
C00057,INV-ET-0090,893,1002.23,2024-03-12,Y
C00057,INV-연금-0009,702,1044.05,2023-09-28,N
C00059,INV-변액-0069,235,1317.91,2023-07-21,Y
C00059,INV-ET-0087,2888,1581.87,2025-03-23,N
C00061,INV-ET-0071,1809,1160.3,2024-11-17,N
C00062,INV-변액-0084,503,995.75,2023-11-25,N
C00062,INV-변액-0038,414,1149.93,2023-09-20,N
C00062,INV-연금-0085,2163,1293.61,2024-02-16,N
C00062,INV-펀드-0057,1155,1039.38,2024-08-20,N
C00062,INV-변액-0037,250,946.12,2025-01-01,N
C00063,INV-연금-0036,632,875.5,2024-10-27,Y
C00063,INV-변액-0013,855,985.49,2023-06-09,Y
C00063,INV-ET-0073,1419,1312.47,2024-05-02,N
C00064,INV-ET-0076,1960,1145.99,2023-08-18,N
C00064,INV-펀드-0044,2077,1163.36,2023-07-11,N
C00064,INV-ET-0025,662,1315.05,2023-02-12,N
C00066,INV-펀드-0046,2945,1177.44,2023-06-26,Y
C00066,INV-ET-0099,2696,1242.35,2023-12-02,N
C00067,INV-변액-0084,862,1020.03,2023-09-20,N
C00067,INV-연금-0089,1346,937.23,2025-06-18,Y
C00068,INV-펀드-0040,1882,1122.86,2023-11-01,N
C00068,INV-펀드-0054,1431,939.02,2024-01-01,N
C00070,INV-변액-0084,1895,1082.77,2024-09-30,Y
C00070,INV-ET-0073,1721,1492.95,2023-10-18,N
C00072,INV-변액-0013,2935,920.05,2024-10-25,N
C00072,INV-변액-0007,2325,925.71,2023-04-25,N
C00072,INV-펀드-0012,2718,1044.44,2024-05-01,Y
C00073,INV-ET-0087,2951,1368.66,2024-04-06,N
C00073,INV-ET-0091,2639,1107.79,2024-06-05,Y
C00073,INV-펀드-0011,912,1187.77,2024-05-10,N
C00075,INV-연금-0019,1741,1302.74,2024-02-09,N
C00076,INV-ET-0087,2126,1500.64,2024-01-01,N
C00076,INV-펀드-0067,1888,1351.51,2023-12-31,N
C00076,INV-펀드-0040,2519,1313.84,2025-02-15,Y
C00079,INV-ET-0003,945,1216.42,2024-09-04,N
C00079,INV-연금-0085,1589,1252.47,2025-01-20,N
C00079,INV-펀드-0012,1996,1122.77,2023-11-04,Y
C00080,INV-ET-0022,2213,997.07,2024-03-04,N
C00083,INV-펀드-0052,292,1109.62,2023-08-01,Y
C00083,INV-변액-0069,1468,1345.02,2023-03-21,N
C00083,INV-연금-0089,2533,1105.55,2024-10-23,N
C00084,INV-펀드-0061,1153,1069.81,2025-02-15,N
C00084,INV-펀드-0054,1451,1010.04,2023-06-03,N
C00085,INV-펀드-0062,2394,1384.13,2023-04-01,N
C00085,INV-ET-0091,355,1068.07,2023-08-05,Y
C00085,INV-펀드-0046,370,1111.87,2024-04-04,Y
C00085,INV-변액-0010,2807,1344.42,2024-07-13,N
C00085,INV-변액-0096,1793,1181.9,2023-01-16,N
C00086,INV-펀드-0058,306,1360.28,2025-01-14,N
C00087,INV-펀드-0023,2781,1204.07,2023-08-02,N
C00087,INV-펀드-0057,991,952.08,2025-04-17,N
C00087,INV-ET-0090,1232,968.26,2025-01-19,N
C00087,INV-변액-0037,1236,900.49,2023-04-02,Y
C00087,INV-ET-0030,2593,1203.18,2024-12-23,N
C00088,INV-ET-0073,2971,1404.93,2024-10-24,N
C00088,INV-ET-0091,1260,1211.17,2024-06-03,N
C00088,INV-연금-0016,1754,1346.27,2024-04-06,N
C00088,INV-연금-0014,2902,1357.11,2023-12-13,N
C00091,INV-연금-0095,1202,1400.8,2024-08-20,Y
C00091,INV-변액-0017,2711,1115.02,2024-02-18,N
C00091,INV-펀드-0002,388,1057.04,2023-09-22,N
C00091,INV-펀드-0020,2914,1362.51,2024-04-03,Y
C00092,INV-펀드-0098,2842,1297.42,2023-05-07,N
C00092,INV-연금-0095,2374,1189.17,2024-06-18,Y
C00092,INV-변액-0010,1713,1451.03,2024-01-30,N
C00093,INV-연금-0097,2193,1480.13,2024-11-18,N
C00095,INV-변액-0017,1500,1197.64,2024-05-20,N
C00096,INV-ET-0008,2482,1145.88,2023-06-25,N
C00098,INV-펀드-0020,247,1257.83,2023-05-01,N
C00098,INV-연금-0059,1341,946.15,2024-02-11,Y
C00098,INV-펀드-0056,2341,1211.1,2024-01-10,Y
C00098,INV-연금-0016,1721,1236.43,2024-10-10,N
C00100,INV-펀드-0034,811,1012.95,2025-02-15,Y
C00100,INV-펀드-0056,1188,1186.17,2024-08-25,N
C00101,INV-변액-0029,2133,1239.5,2023-12-25,N
C00101,INV-펀드-0061,763,1016.46,2023-11-17,N
C00101,INV-ET-0073,2603,1285.25,2024-10-05,N
C00101,INV-ET-0087,1352,1330.38,2023-06-16,Y
C00104,INV-연금-0028,1644,1154.74,2024-08-17,N
C00104,INV-펀드-0063,666,1387.56,2025-06-11,N
C00105,INV-펀드-0063,2394,1309.37,2023-10-07,N
C00105,INV-변액-0029,795,1224.4,2024-12-26,N
C00105,INV-연금-0097,339,1328.04,2025-02-22,N
C00105,INV-펀드-0072,66,996.73,2023-10-09,Y
C00105,INV-펀드-0011,1379,1233.42,2025-06-08,N
C00106,INV-연금-0060,2226,1389.45,2025-01-01,Y
C00106,INV-펀드-0012,2952,1059.1,2025-06-16,N
C00107,INV-펀드-0058,713,1195.28,2023-06-17,N
C00107,INV-변액-0037,1972,1036.79,2024-09-07,Y
C00108,INV-연금-0048,1131,1039.71,2025-04-26,N
C00108,INV-ET-0087,939,1477.9,2024-04-25,N
C00108,INV-펀드-0047,1231,1323.18,2024-07-31,Y
C00108,INV-펀드-0082,1345,1381.4,2023-02-15,N
C00110,INV-연금-0060,1908,1426.35,2025-04-27,Y
C00110,INV-펀드-0020,1822,1337.74,2025-04-26,N
C00111,INV-ET-0033,2874,1024.22,2024-06-13,N
C00111,INV-펀드-0040,1537,1238.15,2023-10-16,N
C00111,INV-연금-0036,2602,1008.57,2023-12-20,Y
C00111,INV-펀드-0034,1999,1050.13,2023-04-18,N
C00112,INV-ET-0073,1286,1508.56,2023-04-21,N
C00112,INV-펀드-0054,589,1014.49,2024-05-11,Y
C00112,INV-펀드-0067,2710,1266.79,2023-09-19,N
C00112,INV-펀드-0046,443,1017.45,2023-07-14,N
C00113,INV-연금-0001,1659,1142.28,2024-01-09,Y
C00113,INV-변액-0007,769,857.43,2023-10-27,N
C00113,INV-연금-0078,2318,1533.96,2023-01-13,Y
C00113,INV-연금-0050,1007,1143.8,2023-12-10,Y
C00113,INV-펀드-0063,815,1392.71,2025-02-22,N
C00114,INV-변액-0010,2130,1275.96,2023-01-17,N
C00114,INV-변액-0015,565,1205.81,2025-05-22,N
C00115,INV-변액-0010,1746,1443.87,2023-05-08,N
C00115,INV-펀드-0047,710,1370.27,2023-06-02,Y
C00116,INV-변액-0084,772,1083.44,2023-02-10,N
C00117,INV-펀드-0026,1861,1358.32,2024-12-10,Y
C00117,INV-변액-0080,105,1447.53,2024-09-13,N
C00117,INV-펀드-0011,2870,1259.31,2023-11-26,Y
C00118,INV-변액-0070,1277,1092.54,2023-03-25,Y
C00118,INV-연금-0041,2621,1307.05,2023-04-22,N
C00120,INV-ET-0031,622,1399.66,2024-12-28,N
C00120,INV-ET-0064,1759,1276.89,2025-03-24,N
C00120,INV-연금-0006,792,1248.99,2023-01-01,Y
C00120,INV-ET-0100,2914,1247.17,2024-07-26,N
C00121,INV-변액-0038,420,1126.7,2024-01-11,Y
C00121,INV-변액-0029,514,1119.23,2024-12-04,N
C00122,INV-ET-0071,1283,1180.85,2025-01-02,Y
C00122,INV-ET-0076,2684,1146.32,2025-05-13,N
C00122,INV-변액-0070,1094,1108.05,2023-09-11,N
C00122,INV-변액-0038,1089,1034.93,2024-01-28,Y
C00122,INV-연금-0089,188,938.37,2023-10-31,N
C00123,INV-연금-0032,1176,950.91,2025-01-09,N
C00125,INV-연금-0048,944,974.63,2023-09-08,N
C00125,INV-펀드-0047,403,1562.07,2023-10-13,N
C00125,INV-펀드-0011,933,1251.08,2024-03-13,Y
C00125,INV-변액-0080,1443,1449.6,2023-06-15,N
C00125,INV-연금-0006,1462,1095.3,2024-09-30,N
C00126,INV-ET-0079,483,1164.89,2024-08-11,N
C00126,INV-변액-0007,1184,1012.13,2024-11-23,Y
C00126,INV-연금-0041,1311,1227.74,2024-03-03,N
C00126,INV-ET-0100,2138,1269.54,2023-09-26,Y
C00128,INV-연금-0021,1753,1064.73,2024-11-27,N
C00129,INV-ET-0065,1228,1289.54,2024-08-11,N
C00129,INV-펀드-0056,1461,1159.5,2023-05-29,N
C00129,INV-ET-0005,568,1436.24,2023-05-06,N
C00129,INV-ET-0079,2333,1261.96,2025-04-24,Y
C00129,INV-연금-0001,1333,1324.0,2025-04-27,N
C00133,INV-펀드-0082,2745,1427.86,2025-06-11,Y
C00134,INV-펀드-0072,838,876.84,2024-03-14,N
C00134,INV-연금-0016,697,1305.2,2024-06-09,Y
C00137,INV-ET-0087,843,1343.1,2023-05-11,Y
C00137,INV-연금-0021,2955,1127.19,2023-02-15,N
C00137,INV-펀드-0034,601,1061.86,2023-08-29,Y
C00138,INV-ET-0091,1233,1050.19,2023-11-12,Y
C00144,INV-변액-0096,2231,1277.61,2024-08-27,Y
C00144,INV-펀드-0035,541,1271.66,2024-01-05,Y
C00144,INV-ET-0003,2020,1040.15,2023-08-22,N
C00145,INV-변액-0037,261,889.67,2024-09-03,N
C00145,INV-연금-0095,2963,1353.76,2024-01-17,Y
C00145,INV-연금-0001,1547,1313.44,2023-07-08,N
C00147,INV-펀드-0052,2722,1045.12,2024-06-20,Y
C00147,INV-변액-0010,587,1344.88,2025-05-22,Y
C00147,INV-연금-0004,777,921.8,2024-03-29,N
C00147,INV-ET-0075,2184,1343.98,2023-08-09,N
C00147,INV-ET-0045,1130,1122.46,2025-02-19,N
C00149,INV-변액-0015,327,1419.7,2024-07-22,N
C00150,INV-ET-0064,1015,1402.77,2024-07-25,N
C00150,INV-펀드-0002,2326,1153.82,2024-04-26,N
C00150,INV-ET-0033,2604,1056.97,2024-07-23,N
C00150,INV-ET-0025,2227,1470.45,2023-01-23,Y
C00151,INV-ET-0033,2625,983.33,2023-11-26,N
C00152,INV-변액-0007,2151,957.36,2023-08-12,N
C00152,INV-연금-0089,2921,1031.01,2023-01-07,Y
C00152,INV-펀드-0039,170,1364.89,2023-06-12,Y
C00152,INV-ET-0093,144,1562.92,2024-08-14,Y
C00152,INV-연금-0006,93,1249.24,2025-05-12,N
C00154,INV-펀드-0082,1789,1507.11,2024-06-07,N
C00154,INV-연금-0089,359,1126.76,2024-09-12,N
C00154,INV-펀드-0002,1043,1179.98,2023-07-08,N
C00156,INV-연금-0050,2832,1196.96,2024-07-17,N
C00156,INV-변액-0084,968,1076.39,2024-04-22,Y
C00156,INV-연금-0078,1166,1372.87,2023-07-18,N
C00156,INV-연금-0094,1488,1193.55,2023-03-31,N
C00156,INV-연금-0032,1113,1140.78,2024-04-26,Y
C00159,INV-ET-0064,700,1429.96,2023-03-27,N
C00159,INV-ET-0025,88,1323.24,2024-10-18,Y
C00163,INV-연금-0041,659,1300.24,2025-04-07,N
C00163,INV-연금-0055,2258,861.51,2023-09-24,Y
C00164,INV-펀드-0024,1327,1344.39,2023-02-12,N
C00164,INV-펀드-0020,1074,1269.94,2023-12-22,N
C00164,INV-연금-0059,2292,1133.44,2024-06-10,N
C00167,INV-펀드-0098,2692,1468.78,2024-02-06,Y
C00167,INV-ET-0087,2275,1402.68,2024-06-22,Y
C00167,INV-펀드-0062,1865,1444.44,2024-01-14,N
C00168,INV-ET-0025,1287,1380.61,2023-12-27,N
C00168,INV-변액-0027,1154,923.97,2025-03-11,N
C00169,INV-펀드-0074,1305,1097.26,2023-05-27,N
C00169,INV-ET-0045,2283,990.33,2024-06-28,Y
C00169,INV-변액-0029,2533,1132.21,2024-08-27,N
C00170,INV-연금-0006,974,1253.97,2024-08-24,Y
C00170,INV-펀드-0044,847,1256.42,2024-01-07,N
C00171,INV-ET-0071,2299,1136.54,2023-03-01,N
C00173,INV-펀드-0023,514,1156.01,2024-11-30,Y
C00173,INV-펀드-0057,2817,1001.17,2023-07-19,Y
C00173,INV-연금-0066,982,1175.8,2025-02-18,Y
C00175,INV-ET-0051,1790,1622.26,2024-05-18,N
C00175,INV-ET-0042,1132,1108.47,2025-05-29,N
C00175,INV-변액-0038,1993,1194.02,2023-05-15,N
C00175,INV-변액-0080,2962,1366.9,2024-11-11,N
C00175,INV-ET-0031,942,1464.73,2025-03-31,N
C00179,INV-ET-0008,2601,1256.18,2023-05-09,N
C00179,INV-변액-0010,829,1352.46,2024-10-28,N
C00179,INV-ET-0076,858,1306.7,2024-08-10,Y
C00181,INV-펀드-0040,2857,1347.58,2025-03-20,N
C00181,INV-변액-0013,912,1013.08,2023-09-10,N
C00181,INV-ET-0033,2733,1081.81,2023-03-29,Y
C00181,INV-변액-0010,86,1306.08,2024-02-12,Y
C00184,INV-연금-0016,72,1453.05,2024-02-17,N
C00185,INV-ET-0073,2502,1284.22,2023-08-17,N
C00185,INV-펀드-0011,229,1187.67,2023-05-09,N
C00185,INV-변액-0088,944,1162.63,2024-02-26,N
C00185,INV-ET-0043,843,1436.23,2025-03-27,N
C00188,INV-ET-0092,2233,1521.93,2024-11-10,N
C00188,INV-ET-0073,1476,1371.73,2025-03-05,N
C00188,INV-펀드-0035,914,1163.58,2024-12-16,N
C00188,INV-ET-0033,1450,1023.59,2023-11-20,Y
C00188,INV-ET-0087,1176,1378.23,2023-04-18,N
C00193,INV-펀드-0072,1500,937.95,2023-03-22,N
C00193,INV-ET-0003,1357,1100.18,2025-05-06,N
C00193,INV-ET-0022,1233,886.94,2024-03-07,N
C00193,INV-연금-0006,1929,1108.81,2023-12-02,N
C00193,INV-ET-0100,1527,1233.58,2024-01-18,N
C00196,INV-펀드-0012,167,1043.67,2023-09-23,N
C00196,INV-연금-0050,2125,1336.85,2024-10-30,N
C00196,INV-펀드-0063,2713,1371.54,2024-07-01,N
C00196,INV-변액-0007,2373,1006.48,2023-10-17,Y
C00196,INV-ET-0099,1190,1208.79,2024-11-20,Y
C00197,INV-펀드-0034,2604,1096.56,2024-03-22,Y
C00197,INV-펀드-0039,1305,1126.93,2023-01-31,N
C00197,INV-펀드-0052,1169,1009.68,2025-01-07,Y
C00199,INV-변액-0088,2023,1204.94,2024-02-16,N
C00199,INV-연금-0021,2896,1191.61,2024-12-21,N
C00199,INV-연금-0094,804,1208.7,2025-02-19,N
C00199,INV-ET-0018,2015,995.86,2024-10-08,N
C00200,INV-변액-0096,1118,1208.2,2024-05-17,N
C00200,INV-ET-0079,680,1144.47,2023-05-20,Y
C00200,INV-펀드-0054,2345,1112.5,2023-07-15,Y
C00200,INV-펀드-0072,1543,991.11,2024-05-31,N
C00200,INV-변액-0088,2743,1142.39,2023-01-22,N
C00205,INV-ET-0008,2569,1210.67,2024-02-21,N
C00207,INV-펀드-0074,1351,1128.72,2024-03-14,N
C00207,INV-ET-0075,406,1324.82,2024-10-20,N
C00207,INV-ET-0090,2822,1055.15,2025-01-28,Y
C00207,INV-펀드-0011,1835,1168.46,2025-02-27,N
C00208,INV-펀드-0034,1305,1032.29,2023-01-21,Y
C00208,INV-변액-0080,1042,1341.81,2024-02-12,N
C00208,INV-변액-0049,1298,945.64,2025-05-07,N
C00208,INV-ET-0003,2184,1195.82,2023-09-20,N
C00209,INV-ET-0042,871,1119.03,2025-02-17,N
C00209,INV-ET-0045,1559,1197.67,2025-05-01,Y
C00209,INV-펀드-0012,2438,964.46,2023-11-07,N
C00209,INV-펀드-0002,2522,1007.13,2024-05-26,N
C00209,INV-변액-0010,2000,1273.93,2025-06-16,N
C00212,INV-펀드-0081,2501,1033.65,2023-11-04,N
C00213,INV-연금-0066,236,1294.25,2023-02-14,N
C00213,INV-ET-0086,2875,982.54,2024-04-29,N
C00213,INV-연금-0095,2467,1309.34,2023-04-26,Y
C00213,INV-ET-0025,1098,1451.71,2024-04-30,N
C00215,INV-연금-0094,1065,1114.34,2025-06-03,N
C00215,INV-연금-0016,2584,1267.22,2023-08-07,Y
C00217,INV-펀드-0046,1607,1186.69,2024-05-16,Y
C00217,INV-변액-0084,1996,1140.27,2023-08-24,Y
C00217,INV-연금-0050,641,1236.57,2024-09-14,Y
C00217,INV-변액-0038,564,1261.27,2025-04-23,Y
C00217,INV-연금-0060,2634,1204.82,2023-01-25,N
C00220,INV-ET-0064,1361,1253.45,2025-01-13,Y
C00220,INV-연금-0097,2222,1355.21,2023-10-15,N
C00220,INV-ET-0076,1293,1324.75,2024-07-20,N
C00221,INV-ET-0003,154,1153.96,2023-11-27,N
C00223,INV-펀드-0047,82,1368.38,2024-12-19,N
C00223,INV-연금-0048,1822,1068.33,2024-10-17,N
C00223,INV-펀드-0024,1397,1257.59,2023-02-24,N
C00223,INV-ET-0043,1678,1452.57,2023-04-16,N
C00223,INV-펀드-0061,1027,1113.54,2025-04-20,Y
C00225,INV-ET-0065,888,1459.21,2024-11-22,N
C00226,INV-ET-0075,1106,1369.91,2023-10-20,N
C00226,INV-변액-0069,2053,1244.71,2024-12-11,N
C00226,INV-ET-0003,2047,1184.29,2025-05-17,N
C00227,INV-ET-0099,2232,1297.63,2023-02-20,N
C00227,INV-펀드-0026,2131,1260.44,2024-07-02,Y
C00227,INV-펀드-0035,515,1090.92,2025-04-16,N
C00227,INV-펀드-0052,208,1077.68,2025-02-11,Y
C00228,INV-변액-0010,554,1270.25,2023-09-09,Y
C00228,INV-변액-0017,2181,1197.05,2023-09-13,N
C00228,INV-ET-0022,2316,994.76,2024-09-28,Y
C00229,INV-펀드-0012,485,1087.63,2023-10-28,N
C00230,INV-펀드-0020,688,1267.42,2025-02-08,N
C00230,INV-펀드-0002,2275,1137.98,2023-02-12,Y
C00230,INV-펀드-0040,2717,1164.7,2023-10-17,Y
C00230,INV-ET-0043,1609,1279.37,2023-05-06,N
C00231,INV-ET-0079,1180,1282.59,2024-12-21,N
C00231,INV-ET-0086,289,1125.44,2023-12-05,N
C00231,INV-펀드-0002,1645,993.51,2023-10-25,Y
C00233,INV-펀드-0046,1879,1185.68,2024-12-27,N
C00233,INV-펀드-0047,2027,1349.04,2023-05-24,Y
C00233,INV-변액-0010,1761,1247.91,2024-02-06,Y
C00234,INV-펀드-0046,2996,1007.0,2023-05-19,Y
C00234,INV-펀드-0054,2953,1087.12,2023-11-07,N
C00234,INV-ET-0065,373,1411.89,2025-01-07,N
C00235,INV-연금-0016,292,1410.74,2024-05-15,N
C00235,INV-ET-0018,1588,1078.26,2025-03-30,Y
C00240,INV-연금-0028,823,1076.68,2023-03-27,N
C00240,INV-연금-0095,1646,1290.32,2024-03-04,N
C00241,INV-펀드-0020,2972,1388.93,2024-09-16,N
C00241,INV-펀드-0054,287,1126.79,2023-06-24,N
C00241,INV-ET-0079,2373,1214.06,2025-02-21,N
C00241,INV-연금-0016,1730,1282.48,2023-05-14,Y
C00242,INV-ET-0031,1964,1439.15,2024-01-08,N
C00242,INV-연금-0094,1915,1197.08,2024-08-29,Y
C00242,INV-변액-0027,830,1086.87,2025-01-10,N
C00244,INV-펀드-0081,574,988.22,2023-08-30,N
C00244,INV-변액-0010,1503,1475.82,2023-12-17,N
C00244,INV-펀드-0061,2119,1074.09,2024-06-06,N
C00245,INV-연금-0009,612,971.71,2023-01-11,N
C00247,INV-펀드-0047,578,1528.49,2024-04-02,N
C00247,INV-연금-0004,948,845.13,2024-12-25,N
C00247,INV-변액-0015,1720,1247.32,2024-11-19,N
C00247,INV-연금-0094,530,1300.58,2024-02-25,Y
C00249,INV-ET-0076,2333,1188.75,2024-08-08,N
C00249,INV-연금-0059,328,938.19,2024-02-24,N
C00249,INV-펀드-0002,143,1019.73,2023-12-26,N
C00249,INV-펀드-0054,2025,1087.23,2023-12-05,N
C00249,INV-펀드-0072,943,988.14,2023-03-21,N
C00250,INV-변액-0049,330,1101.74,2023-12-24,N
C00250,INV-펀드-0074,1019,1031.54,2023-05-26,N
C00250,INV-연금-0095,2477,1362.94,2024-02-19,N
C00250,INV-연금-0077,531,1037.14,2023-04-27,Y
C00254,INV-연금-0036,2238,928.38,2023-02-20,Y
C00254,INV-변액-0037,1027,1044.24,2023-02-17,N
C00254,INV-변액-0010,2516,1230.48,2024-12-31,N
C00255,INV-변액-0084,2871,1079.73,2023-08-08,Y
C00255,INV-ET-0042,953,1275.08,2024-04-14,N
C00255,INV-ET-0071,144,1258.16,2023-12-04,Y
C00255,INV-변액-0010,1634,1369.78,2023-07-06,N
C00255,INV-펀드-0024,2531,1255.23,2025-01-01,N
C00256,INV-펀드-0012,2081,1046.95,2023-12-01,N
C00256,INV-ET-0043,2238,1313.62,2023-09-21,N
C00256,INV-ET-0022,134,938.77,2024-06-23,Y
C00258,INV-변액-0049,1619,1009.64,2024-02-19,N
C00258,INV-펀드-0056,467,1171.09,2024-08-29,N
C00260,INV-펀드-0034,2040,1139.19,2024-03-11,N
C00263,INV-펀드-0012,2184,1088.21,2023-08-02,N
C00264,INV-변액-0015,787,1308.48,2025-06-04,N
C00264,INV-ET-0008,2973,1233.21,2024-04-16,Y
C00265,INV-ET-0051,1117,1347.99,2025-01-22,Y
C00265,INV-펀드-0063,630,1296.12,2024-03-18,Y
C00265,INV-ET-0031,951,1526.12,2023-09-01,N
C00265,INV-연금-0097,2921,1429.52,2023-10-01,Y
C00266,INV-연금-0009,1842,948.65,2023-10-26,N
C00266,INV-연금-0028,459,1154.56,2024-04-13,N
C00266,INV-펀드-0054,1770,1115.7,2023-01-04,Y
C00266,INV-연금-0053,86,1200.7,2023-11-21,Y
C00267,INV-ET-0018,161,978.94,2023-11-21,Y
C00268,INV-펀드-0056,217,1066.56,2025-05-18,N
C00268,INV-ET-0091,1582,1065.15,2025-05-15,N
C00268,INV-펀드-0098,1901,1474.67,2024-02-21,N
C00268,INV-펀드-0026,1041,1332.47,2023-02-04,Y
C00269,INV-변액-0088,640,1026.17,2023-08-11,N
C00270,INV-연금-0078,156,1474.52,2025-05-25,N
C00270,INV-펀드-0044,898,1243.25,2024-12-01,N
