tx_id,customer_id,product_id,tx_date,tx_type,units,nav_at_tx,amount_won,channel
TX0000039,C01394,INV-변액-0015,2024-10-27,SELL,319,1196.45,38166755,HTS
TX0000040,C01166,INV-ET-0100,2025-02-08,SELL,425,1350.59,57400075,HTS
TX0000041,C00344,INV-ET-0025,2024-12-10,BUY,286,1307.54,37395644,HTS
TX0000042,C00678,INV-ET-0031,2025-08-23,BUY,400,1543.46,61738400,로보어드바이저
TX0000043,C00619,INV-변액-0010,2025-10-09,SELL,144,1629.2,23460480,MTS
TX0000044,C01430,INV-연금-0068,2025-02-24,SELL,244,1387.92,33865248,대면
TX0000045,C00293,INV-펀드-0023,2025-05-03,SELL,450,1224.17,55087650,대면
TX0000046,C00197,INV-변액-0084,2025-12-15,SELL,309,1008.09,31149981,HTS
TX0000047,C00516,INV-변액-0049,2025-02-04,SELL,61,1005.35,6132635,대면
TX0000048,C00810,INV-연금-0055,2024-11-13,SELL,310,1010.31,31319609,MTS
TX0000049,C00907,INV-변액-0029,2025-01-28,BUY,254,1002.2,25455880,대면
TX0000050,C00503,INV-펀드-0063,2025-04-25,SELL,287,1235.72,35465164,HTS
TX0000051,C00098,INV-펀드-0034,2025-01-18,BUY,55,1112.16,6116880,MTS
TX0000052,C01195,INV-연금-0059,2024-11-02,BUY,381,922.35,35141535,대면
TX0000053,C00766,INV-연금-0009,2024-04-28,SELL,308,1130.96,34833568,대면
TX0000054,C00962,INV-펀드-0063,2025-01-28,BUY,170,1652.01,28084170,HTS
TX0000055,C01261,INV-연금-0009,2025-07-26,SELL,428,1121.33,47992924,대면
TX0000056,C00453,INV-ET-0071,2024-03-17,BUY,336,1092.06,36693216,로보어드바이저
TX0000057,C00740,INV-연금-0060,2024-11-03,SELL,245,1178.17,28865165,MTS
TX0000058,C00845,INV-변액-0084,2024-04-20,BUY,313,945.83,29604479,로보어드바이저
TX0000059,C00363,INV-펀드-0061,2025-05-19,SELL,360,1275.24,45908640,HTS
TX0000060,C01124,INV-펀드-0024,2024-11-14,BUY,246,1122.29,27608333,대면
TX0000061,C01190,INV-ET-0033,2024-07-19,BUY,249,1193.83,29726367,대면
TX0000062,C00152,INV-펀드-0072,2025-10-18,BUY,376,1066.49,40100024,로보어드바이저
TX0000063,C01448,INV-연금-0028,2025-12-01,BUY,200,919.5,18390000,HTS
TX0000064,C00477,INV-ET-0031,2024-11-03,SELL,383,1580.07,60516680,로보어드바이저
TX0000065,C00973,INV-ET-0100,2025-04-08,BUY,401,1375.59,55161159,HTS
TX0000066,C01447,INV-변액-0027,2025-06-14,SELL,51,963.89,4915839,로보어드바이저
TX0000067,C01332,INV-연금-0066,2025-11-03,BUY,452,1062.77,48037204,대면
TX0000068,C00813,INV-펀드-0012,2025-08-21,BUY,294,1078.11,31696433,로보어드바이저
TX0000069,C01492,INV-ET-0064,2025-06-19,SELL,323,1586.52,51244596,로보어드바이저
TX0000070,C00322,INV-변액-0027,2024-11-18,BUY,54,1032.65,5576310,대면
TX0000071,C00894,INV-연금-0050,2024-08-21,BUY,174,1152.63,20055762,대면
TX0000072,C00576,INV-연금-0085,2024-12-17,BUY,492,1503.85,73989420,대면
TX0000073,C00451,INV-펀드-0072,2025-11-26,SELL,46,930.36,4279656,MTS
TX0000074,C00453,INV-ET-0076,2025-02-24,BUY,158,1118.48,17671984,HTS
TX0000075,C00491,INV-펀드-0002,2024-09-25,BUY,95,968.57,9201415,로보어드바이저
TX0000076,C01251,INV-변액-0070,2024-05-02,SELL,400,1196.41,47856400,대면
TX0000077,C00963,INV-ET-0093,2024-02-19,SELL,422,1766.0,74525200,대면
TX0000078,C00810,INV-ET-0087,2025-11-26,SELL,219,1743.71,38187249,HTS
TX0000079,C00263,INV-ET-0005,2024-03-10,BUY,471,1312.58,61822517,로보어드바이저
TX0000080,C01445,INV-연금-0016,2025-04-25,BUY,262,1374.07,36000634,HTS
TX0000081,C00437,INV-연금-0041,2024-07-18,SELL,64,1232.8,7889920,대면
TX0000082,C00508,INV-ET-0042,2024-02-19,BUY,106,1306.61,13850066,로보어드바이저
TX0000083,C00917,INV-ET-0008,2025-06-08,SELL,21,1318.28,2768388,로보어드바이저
TX0000084,C00810,INV-펀드-0057,2024-06-11,SELL,367,969.37,35575879,로보어드바이저
TX0000085,C00804,INV-ET-0075,2025-08-23,SELL,97,1097.55,10646235,대면
TX0000086,C00084,INV-연금-0032,2025-07-31,SELL,463,933.31,43212253,HTS
TX0000087,C00848,INV-펀드-0020,2025-09-19,BUY,44,1656.7,7289480,로보어드바이저
TX0000088,C00925,INV-연금-0036,2024-03-28,SELL,249,1068.84,26614115,HTS
TX0000089,C00312,INV-연금-0050,2024-01-27,BUY,12,1175.29,1410348,MTS
TX0000090,C00091,INV-펀드-0061,2024-02-16,SELL,110,1253.27,13785970,로보어드바이저
TX0000091,C00366,INV-ET-0087,2025-06-28,BUY,168,1710.94,28743792,대면
TX0000092,C00798,INV-연금-0004,2025-08-18,SELL,75,1000.46,7503450,HTS
TX0000093,C00605,INV-ET-0045,2025-04-10,BUY,306,1185.83,36286398,HTS
TX0000094,C00869,INV-ET-0075,2025-03-23,BUY,112,1195.79,13392847,로보어드바이저
TX0000095,C00853,INV-연금-0095,2025-07-24,SELL,171,1564.49,26752778,MTS
TX0000096,C01269,INV-변액-0029,2024-12-20,SELL,400,1017.71,40708400,로보어드바이저
TX0000097,C00149,INV-연금-0041,2025-08-31,BUY,53,1427.47,7565591,로보어드바이저
TX0000098,C00133,INV-ET-0075,2025-02-24,SELL,382,1331.06,50846492,대면
TX0000099,C00037,INV-펀드-0058,2025-08-14,BUY,91,1232.42,11215022,MTS
TX0000100,C01132,INV-펀드-0056,2025-10-26,BUY,176,1110.95,19552720,HTS
TX0000101,C00606,INV-ET-0087,2024-03-02,SELL,186,1816.26,33782436,대면
TX0000102,C01419,INV-펀드-0047,2025-01-28,BUY,459,1587.83,72881397,로보어드바이저
TX0000103,C01179,INV-변액-0070,2024-03-30,BUY,499,1331.73,66453327,로보어드바이저
TX0000104,C00930,INV-연금-0041,2024-10-24,BUY,114,1087.03,12392142,로보어드바이저
TX0000105,C01360,INV-ET-0018,2024-08-31,BUY,87,983.38,8555406,로보어드바이저
TX0000106,C01144,INV-변액-0007,2025-12-04,BUY,425,1107.24,47057700,로보어드바이저
TX0000107,C00621,INV-ET-0003,2025-05-13,SELL,407,1361.49,55412643,MTS
TX0000108,C00429,INV-ET-0042,2025-07-10,BUY,325,1080.46,35114950,대면
TX0000109,C00659,INV-변액-0013,2024-02-15,BUY,170,970.73,16502410,대면
TX0000110,C00971,INV-연금-0078,2025-03-25,SELL,324,1252.2,40571280,로보어드바이저
TX0000111,C00384,INV-펀드-0063,2024-07-25,BUY,146,1606.21,23450666,MTS
TX0000112,C00878,INV-ET-0091,2024-10-27,BUY,470,1343.76,63156719,MTS
TX0000113,C00890,INV-연금-0066,2024-04-17,BUY,176,1361.32,23959231,대면
TX0000114,C00735,INV-연금-0006,2025-09-26,SELL,83,1329.78,11037174,로보어드바이저
TX0000115,C01480,INV-ET-0086,2025-09-26,SELL,224,1244.31,27872544,HTS
TX0000116,C00861,INV-연금-0097,2025-11-18,BUY,419,1238.99,51913681,로보어드바이저
TX0000117,C01333,INV-ET-0008,2024-01-14,SELL,455,1444.63,65730665,로보어드바이저
TX0000118,C00951,INV-ET-0086,2025-09-19,BUY,197,891.21,17556837,MTS
TX0000119,C00441,INV-펀드-0026,2024-05-18,SELL,416,1169.67,48658272,MTS
TX0000120,C01492,INV-연금-0016,2024-11-05,SELL,492,1619.68,79688256,로보어드바이저
TX0000121,C00491,INV-연금-0004,2024-01-09,SELL,308,1073.92,33076736,대면
TX0000122,C00993,INV-연금-0009,2025-11-07,BUY,340,1182.23,40195820,MTS
TX0000123,C00947,INV-연금-0089,2025-01-22,SELL,346,928.33,32120218,HTS
TX0000124,C01093,INV-변액-0070,2024-04-12,SELL,338,1260.59,42607942,로보어드바이저
TX0000125,C00633,INV-ET-0022,2025-10-25,BUY,120,1122.73,13472760,대면
TX0000126,C00735,INV-변액-0070,2024-03-20,BUY,373,1093.94,40803962,로보어드바이저
TX0000127,C01150,INV-펀드-0034,2025-12-16,SELL,123,1310.42,16118166,HTS
TX0000128,C00791,INV-펀드-0062,2024-01-06,SELL,25,1636.32,4090800,로보어드바이저
TX0000129,C00233,INV-ET-0099,2024-10-15,BUY,445,1187.14,52827730,HTS
TX0000130,C00279,INV-변액-0029,2025-02-23,BUY,390,1171.07,45671730,로보어드바이저
TX0000131,C01081,INV-변액-0049,2024-06-16,SELL,433,1044.33,45219488,대면
TX0000132,C00948,INV-변액-0049,2025-06-21,BUY,498,1000.79,49839342,대면
TX0000133,C01169,INV-펀드-0082,2024-11-07,BUY,376,1535.0,57716000,MTS
TX0000134,C00032,INV-연금-0032,2025-06-25,SELL,48,1295.35,6217680,로보어드바이저
TX0000135,C00848,INV-연금-0050,2025-12-05,BUY,11,1120.94,1233034,MTS
TX0000136,C00035,INV-연금-0077,2024-10-09,BUY,276,1315.53,36308628,MTS
TX0000137,C00706,INV-펀드-0011,2024-11-27,SELL,199,1382.41,27509959,HTS
TX0000138,C00564,INV-연금-0059,2025-08-19,BUY,412,1237.45,50982940,HTS
TX0000139,C00578,INV-펀드-0020,2025-04-21,SELL,341,1572.34,53616793,로보어드바이저
TX0000140,C00932,INV-ET-0092,2025-08-18,BUY,27,1428.32,3856464,HTS
TX0000141,C00436,INV-펀드-0067,2024-06-24,BUY,103,1601.18,16492154,로보어드바이저
TX0000142,C00729,INV-변액-0038,2025-08-10,BUY,406,1236.95,50220170,HTS
TX0000143,C00343,INV-ET-0090,2025-04-09,BUY,482,1306.39,62967998,대면
TX0000144,C00795,INV-펀드-0024,2024-01-18,BUY,188,1476.52,27758576,로보어드바이저
TX0000145,C01400,INV-ET-0045,2024-05-14,BUY,297,953.97,28332909,대면
TX0000146,C01069,INV-연금-0078,2025-06-05,SELL,71,1285.49,9126979,HTS
TX0000147,C00719,INV-ET-0030,2024-09-01,SELL,198,1467.97,29065806,대면
TX0000148,C00147,INV-펀드-0054,2024-05-09,SELL,74,1279.81,9470594,대면
TX0000149,C00498,INV-연금-0048,2025-10-15,BUY,219,1196.35,26200065,대면
TX0000150,C01081,INV-연금-0060,2024-12-30,BUY,443,1562.78,69231154,대면
TX0000151,C01302,INV-연금-0060,2025-08-20,BUY,304,1292.16,39281664,로보어드바이저
TX0000152,C01188,INV-펀드-0012,2024-03-09,SELL,361,1057.96,38192356,HTS
TX0000153,C00551,INV-연금-0059,2025-04-10,SELL,482,1083.95,52246390,HTS
TX0000154,C00356,INV-ET-0064,2025-06-17,BUY,460,1659.63,76342980,로보어드바이저
TX0000155,C00571,INV-연금-0050,2025-04-03,SELL,36,1186.13,4270068,HTS
TX0000156,C01455,INV-변액-0084,2025-07-06,SELL,257,1177.53,30262521,HTS
TX0000157,C00010,INV-변액-0080,2024-09-05,BUY,372,1476.93,54941796,대면
TX0000158,C00717,INV-펀드-0074,2025-09-03,SELL,342,968.12,33109703,MTS
TX0000159,C01400,INV-변액-0069,2024-06-17,BUY,416,1384.66,57601856,MTS
TX0000160,C00241,INV-변액-0080,2025-04-30,SELL,108,1332.12,14386896,로보어드바이저
TX0000161,C00528,INV-연금-0060,2024-06-16,BUY,403,1466.67,59106801,HTS
TX0000162,C01155,INV-ET-0030,2025-01-30,BUY,229,1524.1,34901890,MTS
TX0000163,C00184,INV-펀드-0098,2024-04-01,SELL,256,1474.4,37744640,HTS
TX0000164,C01179,INV-ET-0073,2024-05-18,BUY,169,1354.7,22894430,HTS
TX0000165,C00114,INV-변액-0080,2025-10-02,BUY,500,1332.93,66646500,MTS
TX0000166,C00079,INV-펀드-0039,2024-12-03,SELL,224,1369.5,30676800,HTS
TX0000167,C01263,INV-펀드-0034,2025-03-30,BUY,479,1123.84,53831936,로보어드바이저
TX0000168,C01242,INV-변액-0027,2024-02-07,SELL,146,1218.91,17796086,MTS
TX0000169,C00282,INV-연금-0060,2024-03-23,SELL,435,1628.44,70837140,대면
TX0000170,C00870,INV-펀드-0081,2024-06-10,SELL,357,967.45,34537965,MTS
TX0000171,C01430,INV-펀드-0056,2025-07-08,BUY,431,1401.57,60407666,HTS
TX0000172,C00571,INV-ET-0005,2024-04-25,BUY,248,1264.12,31350175,대면
TX0000173,C00798,INV-펀드-0058,2024-03-31,SELL,287,1099.88,31566556,HTS
TX0000174,C00481,INV-변액-0069,2024-10-18,SELL,397,1542.38,61232486,대면
TX0000175,C00003,INV-ET-0073,2025-10-12,BUY,151,1712.14,25853314,MTS
TX0000176,C00930,INV-펀드-0061,2024-04-15,BUY,263,1047.07,27537940,로보어드바이저
TX0000177,C00428,INV-펀드-0011,2025-08-29,BUY,245,1085.61,26597444,MTS
TX0000178,C00096,INV-변액-0037,2024-01-22,SELL,285,845.29,24090765,로보어드바이저
TX0000179,C00011,INV-변액-0007,2025-06-06,BUY,437,1007.15,44012455,로보어드바이저
TX0000180,C00213,INV-펀드-0057,2024-10-14,SELL,378,1125.62,42548436,로보어드바이저
TX0000181,C00173,INV-변액-0013,2025-03-15,BUY,381,890.3,33920430,로보어드바이저
TX0000182,C00984,INV-펀드-0061,2024-11-08,BUY,294,975.67,28684698,대면
TX0000183,C01432,INV-변액-0088,2025-09-09,BUY,175,1108.29,19395075,대면
TX0000184,C00115,INV-ET-0018,2024-02-04,BUY,257,915.25,23521925,HTS
TX0000185,C00764,INV-ET-0065,2025-09-29,BUY,242,1432.59,34668678,대면
TX0000186,C00433,INV-연금-0014,2024-03-01,SELL,262,1240.41,32498742,대면
TX0000187,C00524,INV-연금-0016,2024-10-05,BUY,398,1464.65,58293070,MTS
TX0000188,C01104,INV-연금-0006,2024-06-21,BUY,360,1220.1,43923599,로보어드바이저
TX0000189,C01145,INV-변액-0088,2024-09-16,SELL,351,1103.31,38726181,HTS
TX0000190,C00762,INV-연금-0021,2025-02-27,BUY,386,1230.79,47508494,로보어드바이저
TX0000191,C00741,INV-펀드-0056,2024-09-24,BUY,217,1169.89,25386613,MTS
TX0000192,C00569,INV-ET-0073,2024-11-21,BUY,127,1722.89,21880703,로보어드바이저
TX0000193,C01037,INV-펀드-0046,2025-01-22,SELL,450,1228.27,55272150,HTS
TX0000194,C01145,INV-ET-0100,2025-01-18,BUY,184,1152.35,21203240,대면
TX0000195,C00869,INV-펀드-0046,2024-02-23,SELL,23,1287.2,2960560,로보어드바이저
TX0000196,C01037,INV-변액-0027,2025-03-19,SELL,488,897.31,43788728,MTS
TX0000197,C01128,INV-연금-0089,2024-09-16,SELL,279,1004.47,28024713,HTS
TX0000198,C00630,INV-연금-0009,2024-03-04,SELL,211,1006.88,21245168,대면
TX0000199,C01393,INV-연금-0085,2025-05-14,BUY,125,1319.19,16489875,로보어드바이저
TX0000200,C00254,INV-펀드-0067,2025-03-14,SELL,432,1443.58,62362655,MTS
TX0000201,C00068,INV-펀드-0082,2025-03-19,BUY,292,1687.08,49262736,대면
TX0000202,C01346,INV-ET-0073,2024-10-05,BUY,428,1665.24,71272272,대면
TX0000203,C01197,INV-ET-0003,2025-01-19,SELL,106,963.89,10217234,HTS
TX0000204,C00611,INV-ET-0051,2024-04-27,SELL,226,1272.16,28750816,MTS
TX0000205,C00870,INV-펀드-0072,2024-08-21,SELL,218,1173.52,25582736,MTS
TX0000206,C00657,INV-ET-0043,2025-06-30,SELL,101,1365.38,13790338,로보어드바이저
TX0000207,C00339,INV-연금-0059,2024-08-09,SELL,426,1130.42,48155892,MTS
TX0000208,C01335,INV-연금-0032,2024-09-12,SELL,52,1041.63,5416476,로보어드바이저
TX0000209,C00780,INV-ET-0071,2024-11-06,SELL,334,1072.05,35806470,HTS
TX0000210,C00927,INV-연금-0032,2024-11-12,BUY,284,1115.46,31679064,대면
TX0000211,C00569,INV-변액-0070,2024-04-14,BUY,297,1027.89,30528333,대면
TX0000212,C00229,INV-펀드-0034,2024-04-12,BUY,29,1187.69,3444301,MTS
TX0000213,C01187,INV-ET-0087,2025-08-14,BUY,255,1751.76,44669880,MTS
TX0000214,C00802,INV-변액-0069,2024-05-21,BUY,366,1521.63,55691658,로보어드바이저
TX0000215,C00399,INV-연금-0055,2025-04-09,BUY,51,920.54,4694754,로보어드바이저
TX0000216,C00734,INV-ET-0090,2024-02-07,BUY,146,944.86,13794956,대면
TX0000217,C01273,INV-펀드-0044,2025-08-11,SELL,455,1315.12,59837960,MTS
TX0000218,C00287,INV-펀드-0072,2024-09-08,SELL,230,1198.11,27556530,로보어드바이저
TX0000219,C00299,INV-펀드-0002,2025-11-28,SELL,141,1142.73,16112493,로보어드바이저
TX0000220,C00221,INV-연금-0085,2024-03-03,SELL,138,1099.88,15178344,MTS
TX0000221,C00188,INV-변액-0084,2024-10-05,SELL,265,1145.19,30347535,HTS
TX0000222,C00617,INV-변액-0015,2025-09-25,SELL,168,1381.27,23205336,MTS
TX0000223,C01386,INV-ET-0030,2024-03-11,BUY,26,1101.22,2863172,대면
TX0000224,C00722,INV-펀드-0020,2025-03-24,SELL,322,1536.58,49477875,대면
TX0000225,C01077,INV-연금-0095,2024-02-01,SELL,476,1399.0,66592400,MTS
TX0000226,C00819,INV-연금-0077,2024-02-03,SELL,199,1192.91,23738909,대면
TX0000227,C00116,INV-펀드-0081,2025-03-05,BUY,431,1157.02,49867562,로보어드바이저
TX0000228,C00200,INV-ET-0008,2024-12-20,BUY,394,1078.33,42486201,로보어드바이저
TX0000229,C00306,INV-연금-0009,2024-12-12,BUY,10,970.07,970070,MTS
TX0000230,C01258,INV-펀드-0011,2025-05-28,BUY,105,1052.41,11050305,대면
TX0000231,C00125,INV-펀드-0035,2024-11-10,BUY,167,1281.4,21399380,MTS
TX0000232,C00446,INV-ET-0045,2024-11-27,BUY,444,1033.49,45886956,MTS
TX0000233,C00079,INV-ET-0018,2024-12-16,SELL,390,1228.18,47899020,MTS
TX0000234,C00524,INV-변액-0013,2025-07-05,BUY,56,913.19,5113864,대면
TX0000235,C01280,INV-ET-0093,2025-09-14,SELL,252,1678.2,42290640,HTS
TX0000236,C00110,INV-변액-0029,2025-01-31,BUY,108,1085.07,11718756,HTS
TX0000237,C01019,INV-ET-0042,2024-09-13,SELL,14,1348.09,1887325,HTS
TX0000238,C01011,INV-변액-0013,2024-01-25,BUY,387,808.98,31307526,로보어드바이저
TX0000239,C01066,INV-ET-0065,2024-11-07,BUY,424,1549.47,65697528,MTS
TX0000240,C00993,INV-변액-0013,2025-09-06,SELL,48,807.94,3878112,HTS
TX0000241,C00064,INV-연금-0077,2025-01-23,BUY,408,1137.34,46403472,HTS
TX0000242,C01381,INV-연금-0059,2025-07-03,BUY,407,1235.8,50297060,MTS
TX0000243,C00138,INV-펀드-0083,2024-10-22,BUY,252,1113.38,28057176,로보어드바이저
TX0000244,C01428,INV-ET-0065,2025-09-25,BUY,22,1284.67,2826274,대면
TX0000245,C01020,INV-ET-0064,2024-05-29,SELL,461,1210.26,55792986,로보어드바이저
TX0000246,C01445,INV-펀드-0040,2025-04-24,BUY,500,1270.66,63533000,로보어드바이저
TX0000247,C00821,INV-연금-0085,2024-01-12,BUY,377,1448.63,54613351,MTS
TX0000248,C00437,INV-펀드-0083,2025-03-16,SELL,115,1387.92,15961080,대면
TX0000249,C00994,INV-변액-0038,2024-01-03,BUY,337,1344.82,45320434,HTS
TX0000250,C00299,INV-연금-0095,2024-12-14,BUY,87,1479.43,12871041,MTS
TX0000251,C00317,INV-펀드-0083,2024-03-08,SELL,118,1419.15,16745970,로보어드바이저
TX0000252,C00810,INV-연금-0041,2024-02-09,BUY,315,1262.23,39760245,MTS
TX0000253,C00741,INV-연금-0028,2025-06-02,SELL,216,1124.41,24287256,HTS
TX0000254,C00893,INV-ET-0065,2025-06-16,SELL,246,1347.08,33138168,대면
TX0000255,C00886,INV-변액-0007,2024-12-21,BUY,480,1024.92,49196160,MTS
TX0000256,C00200,INV-펀드-0047,2025-01-18,SELL,48,1748.48,8392704,로보어드바이저
TX0000257,C00693,INV-연금-0028,2025-10-30,SELL,29,1225.77,3554733,HTS
TX0000258,C00825,INV-ET-0022,2024-11-04,BUY,138,951.45,13130010,대면
TX0000259,C00260,INV-ET-0005,2024-02-12,SELL,149,1516.58,22597042,대면
TX0000260,C00546,INV-ET-0086,2025-07-18,SELL,314,1197.05,37587370,MTS
TX0000261,C00596,INV-연금-0053,2025-05-05,SELL,270,1256.48,33924960,MTS
TX0000262,C00824,INV-펀드-0061,2025-07-24,SELL,408,936.09,38192472,로보어드바이저
TX0000263,C00258,INV-ET-0075,2025-01-25,SELL,237,1095.89,25972593,로보어드바이저
TX0000264,C00994,INV-변액-0010,2025-02-27,BUY,330,1379.88,45536040,MTS
TX0000265,C00128,INV-펀드-0054,2025-12-04,BUY,194,1142.21,22158874,대면
TX0000266,C00401,INV-펀드-0026,2024-07-09,BUY,103,1250.63,12881489,MTS
TX0000267,C01398,INV-ET-0051,2025-10-08,BUY,104,1784.8,18561920,HTS
TX0000268,C01346,INV-연금-0055,2024-02-13,BUY,352,1150.59,40500768,로보어드바이저
TX0000269,C00381,INV-ET-0071,2025-04-30,BUY,36,1306.96,4705056,대면
TX0000270,C01295,INV-펀드-0011,2025-10-17,SELL,390,1146.97,44731830,HTS
TX0000271,C01332,INV-펀드-0002,2024-08-06,BUY,451,1261.4,56889140,HTS
TX0000272,C00667,INV-연금-0097,2025-05-27,BUY,185,1246.7,23063950,대면
TX0000273,C00491,INV-변액-0080,2025-05-24,BUY,460,1562.36,71868560,대면
TX0000274,C00121,INV-연금-0009,2025-02-10,SELL,381,1161.35,44247435,HTS
TX0000275,C00433,INV-ET-0008,2025-08-19,SELL,452,1155.75,52239900,대면
TX0000276,C00653,INV-연금-0014,2024-09-01,BUY,45,1600.29,7201305,대면
TX0000277,C00523,INV-ET-0042,2024-10-20,BUY,82,1149.94,9429508,MTS
TX0000278,C00901,INV-ET-0087,2025-06-08,SELL,257,1383.17,35547469,로보어드바이저
TX0000279,C00268,INV-ET-0045,2024-05-13,SELL,287,947.94,27205878,로보어드바이저
TX0000280,C00665,INV-ET-0093,2024-03-12,BUY,373,1417.25,52863425,HTS
TX0000281,C00789,INV-펀드-0024,2025-09-18,BUY,130,1265.91,16456830,MTS
TX0000282,C00181,INV-연금-0066,2024-09-08,SELL,251,1216.81,30541931,로보어드바이저
TX0000283,C00389,INV-연금-0055,2025-04-02,BUY,344,833.44,28670336,HTS
TX0000284,C00405,INV-펀드-0056,2024-05-13,BUY,322,1179.18,37969596,HTS
TX0000285,C01031,INV-연금-0097,2025-04-22,SELL,262,1339.9,35105380,대면
TX0000286,C00783,INV-ET-0093,2024-10-30,BUY,356,1418.17,50486852,MTS
TX0000287,C00481,INV-ET-0075,2024-03-06,BUY,112,1506.13,16868656,로보어드바이저
TX0000288,C00821,INV-ET-0030,2025-09-03,SELL,433,1529.13,66211329,로보어드바이저
TX0000289,C01420,INV-펀드-0044,2024-01-05,BUY,248,1099.91,27277768,대면
TX0000290,C01107,INV-펀드-0023,2024-08-02,BUY,373,1427.3,53238290,MTS
TX0000291,C00447,INV-변액-0080,2025-08-05,SELL,383,1580.49,60532767,대면
TX0000292,C00987,INV-연금-0048,2024-05-26,BUY,397,1094.44,43449268,MTS
TX0000293,C00208,INV-변액-0007,2024-12-17,SELL,259,836.69,21670271,HTS
TX0000294,C01119,INV-ET-0076,2025-06-04,SELL,112,1474.05,16509360,MTS
TX0000295,C00015,INV-펀드-0082,2024-03-11,BUY,215,1253.15,26942725,MTS
TX0000296,C01428,INV-ET-0064,2025-06-13,BUY,67,1520.38,10186546,MTS
TX0000297,C01352,INV-연금-0059,2024-03-02,SELL,125,916.23,11452875,로보어드바이저
TX0000298,C00245,INV-ET-0076,2024-10-24,BUY,398,1435.9,57148820,로보어드바이저
TX0000299,C00791,INV-ET-0030,2025-02-01,BUY,92,1434.37,13196203,HTS
TX0000300,C00494,INV-ET-0005,2024-04-13,BUY,74,1296.75,9595950,대면
TX0000301,C00067,INV-ET-0076,2024-09-06,BUY,12,1455.97,1747164,HTS
TX0000302,C01500,INV-펀드-0098,2025-08-31,SELL,57,1241.23,7075011,MTS
