policy_id,customer_id,product_code,product_name,insurer,category,status,start_date,monthly_premium,scenario_code
P000150,C00043,BD-AU-0152,백두손해 자동차표준형1,백두손해,자동차,정상유지,2023-03-24,56856,공백_사망
P000151,C00043,GH-FI-0062,광화종합 화재실속형2,광화종합,화재,정상유지,2021-01-07,27780,공백_사망
P000152,C00043,GH-TR-0066,광화종합 여행자기본형3,광화종합,여행자,정상유지,2021-03-04,14775,정상
P000153,C00044,HB-AU-0001,한빛생명 자동차표준형1,한빛생명,자동차,정상유지,2022-08-27,105163,중복_실손
P000154,C00044,CU-WL-0037,청우손해 종신프리미엄3,청우손해,종신,정상유지,2023-01-30,93148,정상
P000155,C00044,DB-HE-0118,동백해상 실손프리미엄3,동백해상,실손,정상유지,2021-02-11,23145,공백_사망
P000156,C00044,HB-FI-0020,한빛생명 화재기본형4,한빛생명,화재,정상유지,2021-12-03,29119,중복_자차
P000157,C00044,SS-TR-0108,삼산라이프 여행자기본형2,삼산라이프,여행자,정상유지,2021-03-06,8902,중복_자차
P000158,C00045,SS-HE-0096,삼산라이프 실손실속형2,삼산라이프,실손,정상유지,2024-07-23,23518,중복_자차
P000159,C00045,BD-WL-0165,백두손해 종신프리미엄4,백두손해,종신,정상유지,2024-11-26,180675,공백_배상
P000160,C00045,HB-TR-0023,한빛생명 여행자실속형3,한빛생명,여행자,정상유지,2022-06-15,12546,공백_사망
P000161,C00046,CU-TR-0045,청우손해 여행자프리미엄3,청우손해,여행자,정상유지,2023-07-08,5022,중복_실손
P000162,C00046,IR-PN-0144,이레생명 연금프리미엄2,이레생명,연금,정상유지,2022-04-11,342386,공백_배상
P000163,C00047,HB-FI-0019,한빛생명 화재기본형3,한빛생명,화재,정상유지,2021-08-25,17099,공백_배상
P000164,C00047,IR-AU-0130,이레생명 자동차기본형1,이레생명,자동차,정상유지,2023-09-04,58565,정상
P000165,C00047,IR-WL-0140,이레생명 종신실속형1,이레생명,종신,정상유지,2021-11-22,139246,정상
P000166,C00048,DA-AU-0068,다올화재 자동차표준형1,다올화재,자동차,정상유지,2025-02-16,107516,공백_배상
P000167,C00048,DB-FI-0127,동백해상 화재실속형3,동백해상,화재,정상유지,2024-03-30,24592,공백_사망
P000168,C00048,GH-TR-0065,광화종합 여행자기본형2,광화종합,여행자,정상유지,2023-08-30,8698,정상
P000169,C00048,IR-WL-0140,이레생명 종신실속형1,이레생명,종신,정상유지,2023-09-09,139246,중복_실손
P000170,C00049,GH-PN-0059,광화종합 연금기본형3,광화종합,연금,정상유지,2021-12-24,208430,공백_배상
P000171,C00049,CU-TR-0045,청우손해 여행자프리미엄3,청우손해,여행자,정상유지,2022-04-17,5022,중복_실손
P000172,C00049,CU-CH-0028,청우손해 어린이기본형2,청우손해,어린이,정상유지,2024-02-15,63090,중복_자차
P000173,C00049,SS-AU-0092,삼산라이프 자동차실속형4,삼산라이프,자동차,정상유지,2021-12-03,76176,공백_배상
P000174,C00049,CU-HE-0033,청우손해 실손실속형3,청우손해,실손,정상유지,2024-12-30,27026,공백_사망
P000175,C00050,CU-PN-0039,청우손해 연금기본형1,청우손해,연금,정상유지,2023-01-15,176228,정상
P000176,C00050,DB-HE-0117,동백해상 실손프리미엄2,동백해상,실손,정상유지,2021-03-24,43319,중복_자차
P000177,C00050,DA-AU-0068,다올화재 자동차표준형1,다올화재,자동차,정상유지,2023-12-27,107516,중복_자차
P000178,C00050,IR-WL-0142,이레생명 종신기본형3,이레생명,종신,정상유지,2022-09-12,189151,공백_배상
P000179,C00051,CU-AU-0025,청우손해 자동차실속형2,청우손해,자동차,정상유지,2024-01-14,84484,공백_사망
P000180,C00051,HB-FI-0018,한빛생명 화재표준형2,한빛생명,화재,정상유지,2022-04-16,8831,공백_사망
P000181,C00052,BD-CH-0157,백두손해 어린이표준형2,백두손해,어린이,정상유지,2021-09-16,74248,중복_실손
P000182,C00052,CU-PN-0039,청우손해 연금기본형1,청우손해,연금,정상유지,2022-05-24,176228,정상
P000183,C00052,DB-TR-0128,동백해상 여행자실속형1,동백해상,여행자,정상유지,2021-08-09,8326,정상
P000184,C00052,GH-WL-0054,광화종합 종신표준형1,광화종합,종신,정상유지,2022-09-13,249273,공백_사망
P000185,C00052,DB-HE-0118,동백해상 실손프리미엄3,동백해상,실손,정상유지,2021-04-13,23145,공백_배상
P000186,C00053,CU-FI-0042,청우손해 화재실속형2,청우손해,화재,정상유지,2024-05-01,26233,공백_배상
P000187,C00053,BD-AU-0155,백두손해 자동차프리미엄4,백두손해,자동차,정상유지,2024-12-05,112780,정상
P000188,C00054,CU-WL-0035,청우손해 종신프리미엄1,청우손해,종신,정상유지,2024-01-04,255576,중복_실손
P000189,C00054,GH-FI-0062,광화종합 화재실속형2,광화종합,화재,정상유지,2024-07-23,27780,중복_실손
P000190,C00054,BD-CH-0158,백두손해 어린이기본형3,백두손해,어린이,정상유지,2024-01-06,68943,정상
P000191,C00054,HB-AU-0001,한빛생명 자동차표준형1,한빛생명,자동차,정상유지,2024-02-08,105163,정상
P000192,C00055,GH-FI-0063,광화종합 화재프리미엄3,광화종합,화재,정상유지,2021-04-25,23154,중복_실손
P000193,C00055,CU-PN-0040,청우손해 연금실속형2,청우손해,연금,정상유지,2021-02-22,238099,중복_실손
P000194,C00055,GH-AU-0046,광화종합 자동차표준형1,광화종합,자동차,정상유지,2021-03-13,101331,중복_실손
P000195,C00055,BD-WL-0164,백두손해 종신실속형3,백두손해,종신,정상유지,2021-09-27,185104,공백_배상
P000196,C00056,IR-CH-0133,이레생명 어린이기본형1,이레생명,어린이,정상유지,2021-02-17,43283,중복_실손
P000197,C00056,GH-HE-0053,광화종합 실손표준형4,광화종합,실손,정상유지,2021-04-18,27569,정상
P000198,C00056,SS-AU-0089,삼산라이프 자동차실속형1,삼산라이프,자동차,정상유지,2022-11-05,81838,정상
P000199,C00057,DB-WL-0122,동백해상 종신기본형3,동백해상,종신,정상유지,2022-10-08,154997,중복_실손
P000200,C00057,GH-FI-0063,광화종합 화재프리미엄3,광화종합,화재,정상유지,2021-05-05,23154,중복_실손
P000201,C00057,IR-CH-0134,이레생명 어린이프리미엄2,이레생명,어린이,정상유지,2024-10-20,76251,중복_실손
P000202,C00058,GH-HE-0050,광화종합 실손실속형1,광화종합,실손,정상유지,2025-05-10,15034,정상
P000203,C00058,CU-WL-0036,청우손해 종신실속형2,청우손해,종신,정상유지,2021-01-15,257173,정상
P000204,C00058,BD-AU-0155,백두손해 자동차프리미엄4,백두손해,자동차,정상유지,2022-10-01,112780,중복_실손
P000205,C00059,CU-TR-0043,청우손해 여행자실속형1,청우손해,여행자,정상유지,2023-01-16,13209,중복_자차
P000206,C00059,CU-PN-0039,청우손해 연금기본형1,청우손해,연금,정상유지,2023-08-12,176228,공백_사망
P000207,C00060,DA-AU-0068,다올화재 자동차표준형1,다올화재,자동차,정상유지,2021-08-03,107516,중복_자차
P000208,C00060,SS-TR-0110,삼산라이프 여행자프리미엄4,삼산라이프,여행자,정상유지,2021-08-08,12748,중복_자차
P000209,C00060,DB-HE-0116,동백해상 실손프리미엄1,동백해상,실손,정상유지,2021-02-10,32539,정상
P000210,C00060,DA-PN-0082,다올화재 연금기본형4,다올화재,연금,정상유지,2022-04-22,163670,정상
P000211,C00061,DB-WL-0120,동백해상 종신표준형1,동백해상,종신,정상유지,2023-07-29,82609,정상
P000212,C00061,DB-FI-0127,동백해상 화재실속형3,동백해상,화재,정상유지,2023-11-08,24592,중복_자차
P000213,C00061,IR-CH-0133,이레생명 어린이기본형1,이레생명,어린이,정상유지,2023-09-04,43283,정상
P000214,C00062,CU-WL-0038,청우손해 종신기본형4,청우손해,종신,정상유지,2021-07-29,204656,공백_사망
P000215,C00062,BD-HE-0159,백두손해 실손기본형1,백두손해,실손,정상유지,2022-11-08,24791,공백_배상
P000216,C00062,BD-TR-0171,백두손해 여행자기본형2,백두손해,여행자,정상유지,2023-11-17,3514,공백_배상
P000217,C00063,IR-WL-0141,이레생명 종신프리미엄2,이레생명,종신,정상유지,2024-12-26,83800,중복_자차
P000218,C00063,HB-FI-0017,한빛생명 화재프리미엄1,한빛생명,화재,정상유지,2024-01-28,10814,중복_자차
P000219,C00063,HB-CH-0005,한빛생명 어린이기본형2,한빛생명,어린이,정상유지,2022-07-30,66973,정상
P000220,C00063,SS-TR-0110,삼산라이프 여행자프리미엄4,삼산라이프,여행자,정상유지,2022-08-03,12748,중복_자차
P000221,C00063,HB-PN-0013,한빛생명 연금기본형1,한빛생명,연금,정상유지,2021-01-10,320731,공백_사망
P000222,C00064,DA-FI-0083,다올화재 화재프리미엄1,다올화재,화재,정상유지,2023-10-03,22272,정상
P000223,C00064,SS-AU-0092,삼산라이프 자동차실속형4,삼산라이프,자동차,정상유지,2022-12-04,76176,공백_사망
P000224,C00064,GH-WL-0055,광화종합 종신프리미엄2,광화종합,종신,정상유지,2024-02-14,165517,중복_실손
P000225,C00064,CU-HE-0033,청우손해 실손실속형3,청우손해,실손,정상유지,2023-11-18,27026,중복_자차
P000226,C00064,DA-TR-0088,다올화재 여행자프리미엄2,다올화재,여행자,정상유지,2023-10-11,6550,공백_배상
P000227,C00065,IR-PN-0145,이레생명 연금실속형3,이레생명,연금,정상유지,2023-03-28,364662,공백_사망
P000228,C00065,DB-CH-0114,동백해상 어린이기본형2,동백해상,어린이,정상유지,2024-05-30,80634,중복_실손
P000229,C00065,SS-HE-0096,삼산라이프 실손실속형2,삼산라이프,실손,정상유지,2023-03-26,23518,정상
P000230,C00066,CU-TR-0045,청우손해 여행자프리미엄3,청우손해,여행자,정상유지,2021-10-22,5022,정상
P000231,C00066,GH-WL-0054,광화종합 종신표준형1,광화종합,종신,정상유지,2023-12-17,249273,정상
P000232,C00066,IR-PN-0144,이레생명 연금프리미엄2,이레생명,연금,정상유지,2022-06-13,342386,공백_배상
P000233,C00066,GH-FI-0062,광화종합 화재실속형2,광화종합,화재,정상유지,2021-10-04,27780,공백_사망
P000234,C00066,DA-CH-0070,다올화재 어린이표준형1,다올화재,어린이,정상유지,2021-01-02,56748,공백_사망
