policy_id,coverage_code,coverage_name,coverage_group,insured_amount,deductible_flag,rider_flag
P000014,P000014-CV3,대물배상,자동차배상,10000000,N,Y
P000015,P000015-CV1,임시거주비,화재재산,200000000,N,N
P000015,P000015-CV2,대물배상,화재재산,500000000,Y,N
P000015,P000015-CV3,건물화재,화재재산,30000000,N,N
P000016,P000016-CV1,골절진단비,자녀상해질병,500000000,N,N
P000016,P000016-CV2,통원치료비,자녀상해질병,30000000,N,N
P000016,P000016-CV3,입원일당,자녀상해질병,50000000,Y,N
P000017,P000017-CV1,노후소득보장,노후연금,10000000,N,N
P000017,P000017-CV2,최저보증이율,노후연금,30000000,N,N
P000017,P000017-CV3,조기해지환급금,노후연금,30000000,N,Y
P000018,P000018-CV1,임시거주비,화재재산,100000000,Y,N
P000018,P000018-CV2,건물화재,화재재산,50000000,Y,N
P000018,P000018-CV3,가재도구,화재재산,500000000,N,Y
P000018,P000018-RD1,입원일당확장,특약보강,10000000,N,Y
P000018,P000018-RD2,암진단가산,특약보강,10000000,N,Y
P000019,P000019-CV1,임시거주비,화재재산,30000000,Y,N
P000019,P000019-CV2,대물배상,화재재산,30000000,Y,N
P000019,P000019-CV3,건물화재,화재재산,10000000,Y,Y
P000020,P000020-CV1,연금개시,노후연금,10000000,N,N
P000020,P000020-CV2,조기해지환급금,노후연금,500000000,Y,N
P000020,P000020-CV3,의료간병자금,노후연금,500000000,N,N
P000020,P000020-RD1,해외의료확장,특약보강,20000000,N,Y
P000020,P000020-RD2,입원일당확장,특약보강,10000000,N,Y
P000021,P000021-CV1,여행지연,여행자보장,100000000,Y,N
P000021,P000021-CV2,휴대품손해,여행자보장,200000000,Y,N
P000021,P000021-CV3,해외의료비,여행자보장,200000000,N,Y
P000021,P000021-RD1,해외의료확장,특약보강,5000000,N,Y
P000021,P000021-RD2,운전자벌금,특약보강,10000000,N,Y
P000022,P000022-CV1,임시거주비,화재재산,10000000,Y,N
P000022,P000022-CV2,건물화재,화재재산,50000000,N,N
P000022,P000022-CV3,가재도구,화재재산,10000000,N,Y
P000022,P000022-RD1,암진단가산,특약보강,20000000,N,Y
P000022,P000022-RD2,암진단가산,특약보강,5000000,N,Y
P000023,P000023-CV1,항공기납치,여행자보장,10000000,Y,N
P000023,P000023-CV2,여행지연,여행자보장,500000000,N,N
P000023,P000023-CV3,배상책임,여행자보장,500000000,Y,N
P000024,P000024-CV1,연금개시,노후연금,30000000,N,N
P000024,P000024-CV2,노후소득보장,노후연금,200000000,Y,N
P000024,P000024-CV3,최저보증이율,노후연금,500000000,Y,N
P000024,P000024-RD1,운전자벌금,특약보강,10000000,N,Y
P000024,P000024-RD2,입원일당확장,특약보강,10000000,N,Y
P000025,P000025-CV1,자기차량손해,자차손해,200000000,N,N
P000025,P000025-CV2,무보험차상해,자차손해,50000000,N,N
P000025,P000025-CV3,대인배상,자동차배상,30000000,Y,Y
P000026,P000026-CV1,재해사망,사망보장,30000000,N,N
P000026,P000026-CV2,고도후유장해,사망보장,30000000,N,N
P000026,P000026-CV3,암진단자금,사망보장,200000000,N,N
P000026,P000026-RD1,암진단가산,특약보강,20000000,N,Y
P000027,P000027-CV1,자기신체사고,자차손해,10000000,Y,N
P000027,P000027-CV2,자기차량손해,자차손해,500000000,Y,N
P000027,P000027-CV3,무보험차상해,자차손해,50000000,Y,N
P000027,P000027-RD1,암진단가산,특약보강,5000000,N,Y
P000028,P000028-CV1,여행지연,여행자보장,100000000,Y,N
P000028,P000028-CV2,항공기납치,여행자보장,50000000,Y,N
P000028,P000028-CV3,휴대품손해,여행자보장,200000000,N,N
P000029,P000029-CV1,대인배상,자동차배상,200000000,N,N
P000029,P000029-CV2,무보험차상해,자차손해,30000000,N,N
P000029,P000029-CV3,대물배상,자동차배상,10000000,N,Y
P000030,P000030-CV1,도난손해,화재재산,100000000,N,N
P000030,P000030-CV2,임시거주비,화재재산,200000000,N,N
P000030,P000030-CV3,대물배상,화재재산,30000000,N,N
P000030,P000030-RD1,입원일당확장,특약보강,10000000,N,Y
P000030,P000030-RD2,암진단가산,특약보강,5000000,N,Y
P000031,P000031-CV1,상급병실차액,실손의료,30000000,Y,N
P000031,P000031-CV2,통원의료비,실손의료,10000000,Y,N
P000031,P000031-CV3,비급여의료비,실손의료,30000000,Y,Y
P000031,P000031-RD1,치과보강특약,특약보강,5000000,N,Y
P000031,P000031-RD2,운전자벌금,특약보강,20000000,N,Y
P000032,P000032-CV1,휴대품손해,여행자보장,50000000,Y,N
P000032,P000032-CV2,여행지연,여행자보장,500000000,N,N
P000032,P000032-CV3,해외의료비,여행자보장,30000000,N,N
P000032,P000032-RD1,치과보강특약,특약보강,5000000,N,Y
P000032,P000032-RD2,운전자벌금,특약보강,5000000,N,Y
P000033,P000033-CV1,의료간병자금,노후연금,50000000,N,N
P000033,P000033-CV2,최저보증이율,노후연금,200000000,Y,N
P000033,P000033-CV3,연금개시,노후연금,200000000,N,N
P000033,P000033-RD1,암진단가산,특약보강,20000000,N,Y
P000034,P000034-CV1,임시거주비,화재재산,500000000,Y,N
P000034,P000034-CV2,도난손해,화재재산,10000000,N,N
P000034,P000034-CV3,대물배상,화재재산,30000000,N,N
P000034,P000034-RD1,치과보강특약,특약보강,20000000,N,Y
P000035,P000035-CV1,여행지연,여행자보장,200000000,N,N
P000035,P000035-CV2,휴대품손해,여행자보장,500000000,Y,N
P000035,P000035-CV3,해외의료비,여행자보장,30000000,N,N
P000035,P000035-RD1,해외의료확장,특약보강,10000000,N,Y
P000036,P000036-CV1,재해사망,사망보장,30000000,N,N
P000036,P000036-CV2,암진단자금,사망보장,30000000,Y,N
P000036,P000036-CV3,뇌출혈진단,사망보장,30000000,N,N
P000036,P000036-RD1,해외의료확장,특약보강,10000000,N,Y
P000037,P000037-CV1,최저보증이율,노후연금,100000000,N,N
P000037,P000037-CV2,노후소득보장,노후연금,30000000,Y,N
P000037,P000037-CV3,연금개시,노후연금,500000000,Y,N
P000037,P000037-RD1,해외의료확장,특약보강,20000000,N,Y
P000038,P000038-CV1,상급병실차액,실손의료,30000000,N,N
P000038,P000038-CV2,비급여의료비,실손의료,10000000,N,N
P000038,P000038-CV3,급여의료비,실손의료,200000000,N,Y
P000038,P000038-RD1,입원일당확장,특약보강,5000000,N,Y
P000039,P000039-CV1,재해사망,사망보장,30000000,Y,N
P000039,P000039-CV2,고도후유장해,사망보장,50000000,N,N
P000039,P000039-CV3,암진단자금,사망보장,200000000,Y,N
P000039,P000039-RD1,암진단가산,특약보강,20000000,N,Y
P000040,P000040-CV1,골절진단비,자녀상해질병,100000000,N,N
P000040,P000040-CV2,입원일당,자녀상해질병,50000000,N,N
P000040,P000040-CV3,통원치료비,자녀상해질병,200000000,Y,N
P000040,P000040-RD1,해외의료확장,특약보강,5000000,N,Y
P000041,P000041-CV1,자기차량손해,자차손해,100000000,N,N
P000041,P000041-CV2,무보험차상해,자차손해,50000000,N,N
P000041,P000041-CV3,대인배상,자동차배상,100000000,Y,Y
P000042,P000042-CV1,재해사망,사망보장,100000000,N,N
P000042,P000042-CV2,암진단자금,사망보장,200000000,N,N
P000042,P000042-CV3,뇌출혈진단,사망보장,10000000,N,N
P000042,P000042-RD1,운전자벌금,특약보강,10000000,N,Y
P000043,P000043-CV1,입원의료비,실손의료,200000000,N,N
P000043,P000043-CV2,급여의료비,실손의료,50000000,N,N
P000043,P000043-CV3,통원의료비,실손의료,500000000,N,N
P000043,P000043-RD1,입원일당확장,특약보강,5000000,N,Y
P000044,P000044-CV1,최저보증이율,노후연금,30000000,Y,N
P000044,P000044-CV2,의료간병자금,노후연금,500000000,Y,N
P000044,P000044-CV3,조기해지환급금,노후연금,30000000,N,Y
P000044,P000044-RD1,치과보강특약,특약보강,5000000,N,Y
P000045,P000045-CV1,통원의료비,실손의료,200000000,N,N
P000045,P000045-CV2,급여의료비,실손의료,30000000,N,N
P000045,P000045-CV3,입원의료비,실손의료,100000000,N,N
P000045,P000045-RD1,치과보강특약,특약보강,5000000,N,Y
P000045,P000045-RD2,암진단가산,특약보강,10000000,N,Y
P000046,P000046-CV1,배상책임,여행자보장,30000000,N,N
P000046,P000046-CV2,휴대품손해,여행자보장,200000000,Y,N
P000046,P000046-CV3,항공기납치,여행자보장,500000000,Y,N
P000046,P000046-RD1,해외의료확장,특약보강,10000000,N,Y
P000046,P000046-RD2,해외의료확장,특약보강,20000000,N,Y
P000047,P000047-CV1,도난손해,화재재산,50000000,N,N
P000047,P000047-CV2,임시거주비,화재재산,200000000,N,N
P000047,P000047-CV3,대물배상,화재재산,10000000,N,Y
P000047,P000047-RD1,해외의료확장,특약보강,20000000,N,Y
P000048,P000048-CV1,대인배상,자동차배상,500000000,N,N
P000048,P000048-CV2,대물배상,자동차배상,200000000,N,N
P000048,P000048-CV3,무보험차상해,자차손해,30000000,N,N
P000049,P000049-CV1,노후소득보장,노후연금,200000000,Y,N
P000049,P000049-CV2,최저보증이율,노후연금,200000000,Y,N
P000049,P000049-CV3,연금개시,노후연금,100000000,Y,Y
P000049,P000049-RD1,운전자벌금,특약보강,10000000,N,Y
P000050,P000050-CV1,상급병실차액,실손의료,100000000,Y,N
P000050,P000050-CV2,비급여의료비,실손의료,100000000,Y,N
P000050,P000050-CV3,급여의료비,실손의료,30000000,N,N
P000050,P000050-RD1,입원일당확장,특약보강,5000000,N,Y
P000051,P000051-CV1,통원치료비,자녀상해질병,500000000,N,N
P000051,P000051-CV2,어린이암진단비,자녀상해질병,200000000,N,N
P000051,P000051-CV3,배상책임,자녀상해질병,500000000,N,Y
P000052,P000052-CV1,임시거주비,화재재산,30000000,Y,N
P000052,P000052-CV2,대물배상,화재재산,200000000,N,N
P000052,P000052-CV3,건물화재,화재재산,100000000,N,N
P000052,P000052-RD1,치과보강특약,특약보강,5000000,N,Y
P000052,P000052-RD2,해외의료확장,특약보강,5000000,N,Y
P000053,P000053-CV1,노후소득보장,노후연금,500000000,N,N
P000053,P000053-CV2,조기해지환급금,노후연금,50000000,Y,N
P000053,P000053-CV3,연금개시,노후연금,200000000,N,N
P000054,P000054-CV1,연금개시,노후연금,500000000,Y,N
P000054,P000054-CV2,노후소득보장,노후연금,30000000,Y,N
P000054,P000054-CV3,최저보증이율,노후연금,100000000,N,N
P000054,P000054-RD1,입원일당확장,특약보강,5000000,N,Y
P000055,P000055-CV1,자기차량손해,자차손해,10000000,N,N
P000055,P000055-CV2,자기신체사고,자차손해,50000000,N,N
P000055,P000055-CV3,대물배상,자동차배상,100000000,N,N
P000055,P000055-RD1,해외의료확장,특약보강,20000000,N,Y
P000056,P000056-CV1,통원치료비,자녀상해질병,30000000,N,N
P000056,P000056-CV2,골절진단비,자녀상해질병,200000000,N,N
P000056,P000056-CV3,입원일당,자녀상해질병,50000000,Y,Y
P000056,P000056-RD1,운전자벌금,특약보강,10000000,N,Y
P000057,P000057-CV1,임시거주비,화재재산,10000000,Y,N
P000057,P000057-CV2,도난손해,화재재산,500000000,N,N
P000057,P000057-CV3,대물배상,화재재산,10000000,N,N
P000057,P000057-RD1,해외의료확장,특약보강,20000000,N,Y
P000058,P000058-CV1,암진단자금,사망보장,30000000,Y,N
P000058,P000058-CV2,일반사망,사망보장,30000000,Y,N
P000058,P000058-CV3,재해사망,사망보장,100000000,N,N
P000058,P000058-RD1,치과보강특약,특약보강,20000000,N,Y
P000058,P000058-RD2,암진단가산,특약보강,5000000,N,Y
P000059,P000059-CV1,통원의료비,실손의료,10000000,N,N
P000059,P000059-CV2,급여의료비,실손의료,50000000,Y,N
P000059,P000059-CV3,입원의료비,실손의료,500000000,N,Y
P000059,P000059-RD1,암진단가산,특약보강,10000000,N,Y
P000060,P000060-CV1,대인배상,자동차배상,500000000,Y,N
P000060,P000060-CV2,무보험차상해,자차손해,50000000,N,N
P000060,P000060-CV3,대물배상,자동차배상,30000000,N,N
P000060,P000060-RD1,치과보강특약,특약보강,5000000,N,Y
P000060,P000060-RD2,운전자벌금,특약보강,5000000,N,Y
P000061,P000061-CV1,임시거주비,화재재산,10000000,N,N
P000061,P000061-CV2,도난손해,화재재산,500000000,N,N
P000061,P000061-CV3,대물배상,화재재산,50000000,N,N
P000062,P000062-CV1,상급병실차액,실손의료,500000000,N,N
P000062,P000062-CV2,비급여의료비,실손의료,200000000,N,N
P000062,P000062-CV3,급여의료비,실손의료,10000000,N,Y
P000062,P000062-RD1,운전자벌금,특약보강,5000000,N,Y
P000062,P000062-RD2,치과보강특약,특약보강,5000000,N,Y
P000063,P000063-CV1,대인배상,자동차배상,10000000,N,N
P000063,P000063-CV2,대물배상,자동차배상,100000000,Y,N
P000063,P000063-CV3,무보험차상해,자차손해,100000000,N,Y
P000064,P000064-CV1,어린이암진단비,자녀상해질병,200000000,Y,N
P000064,P000064-CV2,입원일당,자녀상해질병,10000000,Y,N
P000064,P000064-CV3,배상책임,자녀상해질병,30000000,Y,N
P000065,P000065-CV1,임시거주비,화재재산,10000000,Y,N
P000065,P000065-CV2,가재도구,화재재산,100000000,Y,N
P000065,P000065-CV3,대물배상,화재재산,10000000,N,N
P000066,P000066-CV1,입원의료비,실손의료,30000000,N,N
P000066,P000066-CV2,통원의료비,실손의료,10000000,N,N
P000066,P000066-CV3,급여의료비,실손의료,200000000,N,Y
P000067,P000067-CV1,노후소득보장,노후연금,500000000,Y,N
P000067,P000067-CV2,최저보증이율,노후연금,30000000,N,N
P000067,P000067-CV3,연금개시,노후연금,50000000,N,Y
P000067,P000067-RD1,치과보강특약,특약보강,5000000,N,Y
P000067,P000067-RD2,치과보강특약,특약보강,10000000,N,Y
P000068,P000068-CV1,암진단자금,사망보장,100000000,N,N
P000068,P000068-CV2,재해사망,사망보장,500000000,N,N
P000068,P000068-CV3,고도후유장해,사망보장,100000000,N,N
P000069,P000069-CV1,의료간병자금,노후연금,500000000,N,N
P000069,P000069-CV2,최저보증이율,노후연금,50000000,Y,N
P000069,P000069-CV3,연금개시,노후연금,10000000,N,Y
P000069,P000069-RD1,입원일당확장,특약보강,10000000,N,Y
P000069,P000069-RD2,운전자벌금,특약보강,20000000,N,Y
P000070,P000070-CV1,통원치료비,자녀상해질병,500000000,N,N
P000070,P000070-CV2,어린이암진단비,자녀상해질병,10000000,N,N
P000070,P000070-CV3,골절진단비,자녀상해질병,10000000,N,Y
P000071,P000071-CV1,자기신체사고,자차손해,10000000,N,N
P000071,P000071-CV2,대물배상,자동차배상,50000000,N,N
P000071,P000071-CV3,자기차량손해,자차손해,100000000,Y,N
P000072,P000072-CV1,입원의료비,실손의료,200000000,N,N
P000072,P000072-CV2,비급여의료비,실손의료,50000000,N,N
P000072,P000072-CV3,통원의료비,실손의료,100000000,N,Y
P000072,P000072-RD1,입원일당확장,특약보강,20000000,N,Y
P000073,P000073-CV1,비급여의료비,실손의료,500000000,N,N
P000073,P000073-CV2,상급병실차액,실손의료,30000000,N,N
P000073,P000073-CV3,통원의료비,실손의료,200000000,Y,N
P000073,P000073-RD1,치과보강특약,특약보강,5000000,N,Y
P000074,P000074-CV1,대인배상,자동차배상,500000000,N,N
P000074,P000074-CV2,대물배상,자동차배상,500000000,N,N
P000074,P000074-CV3,무보험차상해,자차손해,50000000,N,Y
P000075,P000075-CV1,도난손해,화재재산,30000000,Y,N
P000075,P000075-CV2,임시거주비,화재재산,30000000,Y,N
P000075,P000075-CV3,대물배상,화재재산,10000000,N,Y
P000075,P000075-RD1,치과보강특약,특약보강,20000000,N,Y
P000075,P000075-RD2,운전자벌금,특약보강,10000000,N,Y
P000076,P000076-CV1,항공기납치,여행자보장,100000000,Y,N
P000076,P000076-CV2,여행지연,여행자보장,200000000,N,N
P000076,P000076-CV3,배상책임,여행자보장,100000000,Y,N
P000077,P000077-CV1,비급여의료비,실손의료,200000000,N,N
P000077,P000077-CV2,통원의료비,실손의료,30000000,Y,N
P000077,P000077-CV3,급여의료비,실손의료,100000000,N,N
P000077,P000077-RD1,해외의료확장,특약보강,5000000,N,Y
P000078,P000078-CV1,일반사망,사망보장,30000000,N,N
P000078,P000078-CV2,암진단자금,사망보장,200000000,Y,N
P000078,P000078-CV3,재해사망,사망보장,50000000,Y,N
P000078,P000078-RD1,해외의료확장,특약보강,5000000,N,Y
P000078,P000078-RD2,운전자벌금,특약보강,10000000,N,Y
P000079,P000079-CV1,여행지연,여행자보장,500000000,N,N
P000079,P000079-CV2,항공기납치,여행자보장,10000000,N,N
P000079,P000079-CV3,휴대품손해,여행자보장,30000000,N,N
P000079,P000079-RD1,해외의료확장,특약보강,5000000,N,Y
P000079,P000079-RD2,해외의료확장,특약보강,20000000,N,Y
P000080,P000080-CV1,건물화재,화재재산,30000000,N,N
P000080,P000080-CV2,임시거주비,화재재산,30000000,N,N
P000080,P000080-CV3,가재도구,화재재산,50000000,N,N
P000080,P000080-RD1,입원일당확장,특약보강,10000000,N,Y
P000081,P000081-CV1,연금개시,노후연금,10000000,Y,N
P000081,P000081-CV2,조기해지환급금,노후연금,500000000,N,N
P000081,P000081-CV3,의료간병자금,노후연금,200000000,Y,Y
P000081,P000081-RD1,치과보강특약,특약보강,10000000,N,Y
P000082,P000082-CV1,자기신체사고,자차손해,200000000,N,N
P000082,P000082-CV2,자기차량손해,자차손해,10000000,N,N
P000082,P000082-CV3,무보험차상해,자차손해,50000000,N,Y
P000082,P000082-RD1,치과보강특약,특약보강,20000000,N,Y
P000082,P000082-RD2,암진단가산,특약보강,10000000,N,Y
P000083,P000083-CV1,암진단자금,사망보장,500000000,Y,N
P000083,P000083-CV2,뇌출혈진단,사망보장,10000000,N,N
P000083,P000083-CV3,재해사망,사망보장,500000000,N,N
P000083,P000083-RD1,운전자벌금,특약보강,20000000,N,Y
P000083,P000083-RD2,암진단가산,특약보강,5000000,N,Y
P000084,P000084-CV1,배상책임,여행자보장,10000000,N,N
P000084,P000084-CV2,휴대품손해,여행자보장,500000000,N,N
P000084,P000084-CV3,항공기납치,여행자보장,10000000,N,Y
P000085,P000085-CV1,비급여의료비,실손의료,200000000,N,N
P000085,P000085-CV2,상급병실차액,실손의료,30000000,N,N
P000085,P000085-CV3,급여의료비,실손의료,30000000,Y,Y
P000085,P000085-RD1,입원일당확장,특약보강,10000000,N,Y
P000086,P000086-CV1,자기신체사고,자차손해,10000000,N,N
P000086,P000086-CV2,무보험차상해,자차손해,100000000,N,N
P000086,P000086-CV3,자기차량손해,자차손해,100000000,N,Y
P000086,P000086-RD1,암진단가산,특약보강,20000000,N,Y
P000086,P000086-RD2,치과보강특약,특약보강,10000000,N,Y
P000087,P000087-CV1,항공기납치,여행자보장,500000000,N,N
P000087,P000087-CV2,배상책임,여행자보장,10000000,Y,N
P000087,P000087-CV3,해외의료비,여행자보장,500000000,N,N
P000087,P000087-RD1,운전자벌금,특약보강,10000000,N,Y
P000088,P000088-CV1,일반사망,사망보장,50000000,N,N
P000088,P000088-CV2,고도후유장해,사망보장,10000000,Y,N
P000088,P000088-CV3,뇌출혈진단,사망보장,500000000,Y,N
P000088,P000088-RD1,치과보강특약,특약보강,10000000,N,Y
P000089,P000089-CV1,연금개시,노후연금,500000000,Y,N
P000089,P000089-CV2,조기해지환급금,노후연금,50000000,Y,N
P000089,P000089-CV3,의료간병자금,노후연금,500000000,Y,N
P000089,P000089-RD1,해외의료확장,특약보강,10000000,N,Y
P000090,P000090-CV1,일반사망,사망보장,30000000,Y,N
P000090,P000090-CV2,뇌출혈진단,사망보장,30000000,Y,N
P000090,P000090-CV3,재해사망,사망보장,100000000,N,N
P000090,P000090-RD1,암진단가산,특약보강,20000000,N,Y
P000091,P000091-CV1,자기차량손해,자차손해,100000000,N,N
P000091,P000091-CV2,대물배상,자동차배상,200000000,N,N
P000091,P000091-CV3,무보험차상해,자차손해,100000000,N,N
P000091,P000091-RD1,운전자벌금,특약보강,20000000,N,Y
P000091,P000091-RD2,암진단가산,특약보강,20000000,N,Y
P000092,P000092-CV1,급여의료비,실손의료,200000000,N,N
P000092,P000092-CV2,통원의료비,실손의료,10000000,N,N
P000092,P000092-CV3,입원의료비,실손의료,30000000,Y,N
P000093,P000093-CV1,건물화재,화재재산,50000000,Y,N
P000093,P000093-CV2,도난손해,화재재산,10000000,N,N
P000093,P000093-CV3,임시거주비,화재재산,30000000,N,N
P000094,P000094-CV1,입원의료비,실손의료,30000000,Y,N
P000094,P000094-CV2,상급병실차액,실손의료,500000000,Y,N
P000094,P000094-CV3,통원의료비,실손의료,10000000,N,N
P000094,P000094-RD1,해외의료확장,특약보강,5000000,N,Y
P000094,P000094-RD2,암진단가산,특약보강,5000000,N,Y
P000095,P000095-CV1,의료간병자금,노후연금,10000000,Y,N
P000095,P000095-CV2,노후소득보장,노후연금,30000000,Y,N
P000095,P000095-CV3,조기해지환급금,노후연금,50000000,N,N
P000095,P000095-RD1,치과보강특약,특약보강,10000000,N,Y
P000095,P000095-RD2,치과보강특약,특약보강,10000000,N,Y
P000096,P000096-CV1,재해사망,사망보장,200000000,N,N
P000096,P000096-CV2,암진단자금,사망보장,50000000,N,N
P000096,P000096-CV3,뇌출혈진단,사망보장,50000000,N,Y
P000096,P000096-RD1,입원일당확장,특약보강,5000000,N,Y
P000097,P000097-CV1,어린이암진단비,자녀상해질병,50000000,N,N
P000097,P000097-CV2,입원일당,자녀상해질병,30000000,N,N
P000097,P000097-CV3,배상책임,자녀상해질병,500000000,N,N
P000097,P000097-RD1,해외의료확장,특약보강,5000000,N,Y
P000097,P000097-RD2,운전자벌금,특약보강,20000000,N,Y
P000098,P000098-CV1,자기차량손해,자차손해,100000000,Y,N
P000098,P000098-CV2,대인배상,자동차배상,10000000,N,N
P000098,P000098-CV3,대물배상,자동차배상,10000000,Y,N
P000098,P000098-RD1,암진단가산,특약보강,20000000,N,Y
P000098,P000098-RD2,입원일당확장,특약보강,20000000,N,Y
P000099,P000099-CV1,해외의료비,여행자보장,200000000,Y,N
P000099,P000099-CV2,휴대품손해,여행자보장,50000000,N,N
P000099,P000099-CV3,여행지연,여행자보장,30000000,N,N
P000099,P000099-RD1,운전자벌금,특약보강,5000000,N,Y
P000099,P000099-RD2,입원일당확장,특약보강,5000000,N,Y
P000100,P000100-CV1,재해사망,사망보장,30000000,N,N
P000100,P000100-CV2,뇌출혈진단,사망보장,30000000,Y,N
P000100,P000100-CV3,고도후유장해,사망보장,100000000,N,N
P000100,P000100-RD1,운전자벌금,특약보강,10000000,N,Y
P000100,P000100-RD2,해외의료확장,특약보강,10000000,N,Y
P000101,P000101-CV1,무보험차상해,자차손해,100000000,N,N
P000101,P000101-CV2,대물배상,자동차배상,200000000,N,N
P000101,P000101-CV3,자기신체사고,자차손해,30000000,Y,N
P000101,P000101-RD1,입원일당확장,특약보강,20000000,N,Y
P000102,P000102-CV1,상급병실차액,실손의료,30000000,Y,N
P000102,P000102-CV2,통원의료비,실손의료,500000000,N,N
P000102,P000102-CV3,비급여의료비,실손의료,10000000,Y,N
P000103,P000103-CV1,암진단자금,사망보장,200000000,Y,N
P000103,P000103-CV2,고도후유장해,사망보장,500000000,N,N
P000103,P000103-CV3,뇌출혈진단,사망보장,10000000,N,N
P000103,P000103-RD1,치과보강특약,특약보강,20000000,N,Y
P000103,P000103-RD2,운전자벌금,특약보강,10000000,N,Y
P000104,P000104-CV1,연금개시,노후연금,30000000,N,N
P000104,P000104-CV2,조기해지환급금,노후연금,10000000,N,N
P000104,P000104-CV3,의료간병자금,노후연금,10000000,Y,N
P000105,P000105-CV1,배상책임,자녀상해질병,500000000,N,N
P000105,P000105-CV2,어린이암진단비,자녀상해질병,10000000,N,N
P000105,P000105-CV3,입원일당,자녀상해질병,500000000,N,N
P000106,P000106-CV1,배상책임,여행자보장,100000000,N,N
P000106,P000106-CV2,휴대품손해,여행자보장,200000000,N,N
P000106,P000106-CV3,항공기납치,여행자보장,50000000,Y,N
P000107,P000107-CV1,비급여의료비,실손의료,50000000,N,N
P000107,P000107-CV2,상급병실차액,실손의료,30000000,N,N
P000107,P000107-CV3,통원의료비,실손의료,30000000,N,N
P000107,P000107-RD1,치과보강특약,특약보강,5000000,N,Y
P000107,P000107-RD2,입원일당확장,특약보강,5000000,N,Y
P000108,P000108-CV1,무보험차상해,자차손해,50000000,N,N
P000108,P000108-CV2,대물배상,자동차배상,500000000,N,N
P000108,P000108-CV3,자기신체사고,자차손해,100000000,Y,Y
P000108,P000108-RD1,입원일당확장,특약보강,20000000,N,Y
